24/06/2013,CL10175,CL10175-1,48,8:16:00 AM,n_a,1,1,2,9,2,0,0,10,2,8:26:00 AM,0,Y,O/N Rain: previous late-afternoon. Precipitation: a few drops in period 1 and 3.,48,31/07/2013
24/06/2013,CL10176,CL10176-1,48,8:50:00 AM,n_a,1,0,0,11,3,0,0,11,3,9:00:00 AM,0,Y,O/N Rain: previous late-afternoon. Distracted during count by noises in the bushes - possibly a bear?,48,31/07/2013
24/06/2013,CL10177,CL10177-1,48,9:20:00 AM,n_a,1,0,0,12,2,0,0,13,2,9:30:00 AM,0,Y,O/N Rain: previous late-afternoon.,48,31/07/2013
24/06/2013,CL10180,CL10180-1,82,5:04:00 AM,n_a,1,0,0,12,0,0,0,9,0,5:14:00 AM,0,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10181,CL10181-1,82,5:41:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:51:00 AM,0,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10182,CL10182-1,82,6:15:00 AM,n_a,1,0,2,8,2,0,2,7,2,6:25:00 AM,1,Y,NO RECORDING (NOISE: RAINDROPS),82,31/07/2013
24/06/2013,CL10183,CL10183-1,82,6:45:00 AM,n_a,1,0,0,8,0,0,0,7,0,6:55:00 AM,0,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10184,CL10184-1,82,7:12:00 AM,n_a,1,0,2,8,3,0,2,8,3,7:22:00 AM,0,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10185,CL10185-1,82,7:48:00 AM,n_a,1,0,0,9,2,0,0,9,2,7:58:00 AM,1,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10186,CL10186-1,82,8:19:00 AM,n_a,1,1,0,11,2,0,0,11,2,8:29:00 AM,1,Y,"NO RECORDING, NOISE: BOATS. IN CALLING LAKE PROVINCIAL PARK.",82,31/07/2013
24/06/2013,CL10187,CL10187-1,82,9:12:00 AM,n_a,1,0,0,13,3,0,0,13,3,9:22:00 AM,1,Y,NO RECORDING,82,31/07/2013
24/06/2013,CL10188,CL10188-1,82,8:46:00 AM,n_a,1,0,0,12,2,0,0,12,3,8:56:00 AM,1,Y,"NO RECORDING, NOISE: BOATS, ROAD",82,31/07/2013
24/06/2013,CL10189,CL10189-1,82,9:36:00 AM,n_a,1,0,0,14,3,0,0,14,2,9:46:00 AM,0,Y,NO RECORDING,82,31/07/2013
22/06/2013,CL10190,CL10190-1,48,5:52:00 AM,n_a,1,0,0,3,1,0,0,3,2,6:02:00 AM,0,N,Cloud to east but clear directly above,48,31/07/2013
22/06/2013,CL10191,CL10191-1,48,8:27:00 AM,n_a,1,0,0,9,3,0,0,10,3,8:37:00 AM,1,N,"Noise: overhead plane, briefly.",48,31/07/2013
22/06/2013,CL10192,CL10192-1,48,9:00:00 AM,n_a,1,0,0,12,1,0,0,12,1,9:10:00 AM,0,N,"Read PCSiteID as ""CL10116-2"" on SM2 recording. Subsequently re-named point using the proper naming convention.",48,31/07/2013
27/05/2013,CL10204,CL10204-1,2,10:14:00 AM,n_a,1,1,0,16,1,1,0,17,1,10:24:00 AM,1,Y,,2,31/07/2013
27/05/2013,CL10209,CL10209-1,2,9:10:00 AM,n_a,1,2,0,11,2,1,0,11,2,9:20:00 AM,1,Y,HWY NOISE,2,31/07/2013
27/05/2013,CL10210,CL10210-1,2,6:17:00 AM,n_a,1,0,0,6,3,0,1,4,3,6:27:00 AM,1,Y,HWY NOISE,2,31/07/2013
27/05/2013,CL10214,CL10214-1,2,8:25:00 AM,n_a,1,1,0,8,3,0,0,9,3,8:35:00 AM,3,Y,HWY NOISE,2,31/07/2013
27/05/2013,CL10216,CL10216-1,2,5:10:00 AM,n_a,1,0,0,5,2,0,0,5,2,5:20:00 AM,1,Y,HWY NOISE,2,31/07/2013
27/05/2013,CL10218,CL10218-1,2,8:48:00 AM,n_a,1,1,0,10,2,0,0,10,2,8:58:00 AM,3,Y,NOISE FROM hwy,2,31/07/2013
27/05/2013,CL10219,CL10219-1,2,8:16:00 AM,n_a,1,0,0,8,3,0,0,9,3,8:26:00 AM,2,Y,,2,31/07/2013
27/05/2013,CL10220,CL10220-1,2,7:45:00 AM,n_a,1,0,1,6,3,0,0,7,3,7:55:00 AM,2,Y,INTERMITTENT RAINDING DURING PC,2,31/07/2013
27/05/2013,CL10221,CL10221-1,2,5:49:00 AM,n_a,1,0,0,4,2,2,0,4,3,5:59:00 AM,2,Y,NOISE FROM TRUCKS ON HWY,2,31/07/2013
27/05/2013,CL10222,CL10222-1,2,5:04:00 AM,n_a,1,0,0,6,2,0,0,3,2,5:14:00 AM,2,Y,NOISE FROM TRUCKS ON HWY,2,31/07/2013
27/05/2013,CL10223,CL10223-1,2,7:07:00 AM,n_a,1,0,2,6,3,0,0,6,3,7:17:00 AM,2,Y,RAINED DURING PC,2,31/07/2013
27/05/2013,CL10224,CL10224-1,2,6:32:00 AM,n_a,1,0,1,5,3,0,1,5,3,6:42:00 AM,2,Y,,2,31/07/2013
30/06/2013,CL10270,CL10270-1,2,5:20:00 AM,n_a,1,0,0,15,1,0,0,14,1,5:30:00 AM,2,N,,2,31/07/2013
30/06/2013,CL10271,CL10271-1,2,5:49:00 AM,n_a,1,0,0,14,1,0,0,13,1,5:59:00 AM,0,N,,2,31/07/2013
30/06/2013,CL10272,CL10272-1,2,9:12:00 AM,n_a,1,2,0,17,1,1,0,17,1,9:22:00 AM,0,N,,2,31/07/2013
30/06/2013,CL10273,CL10273-1,2,6:19:00 AM,n_a,1,1,0,14,1,0,0,14,1,6:29:00 AM,2,N,CHSP NEST NEARBY? SAW Sparrow running away when entering SA,2,31/07/2013
30/06/2013,CL10274,CL10274-1,2,6:47:00 AM,n_a,1,0,0,14,1,2,0,14,1,6:57:00 AM,0,N,,2,31/07/2013
30/06/2013,CL10275,CL10275-1,2,8:12:00 AM,n_a,1,0,0,16,2,0,0,16,2,8:22:00 AM,0,N,,2,31/07/2013
30/06/2013,CL10276,CL10276-1,2,7:18:00 AM,n_a,1,1,0,15,1,0,0,15,1,7:28:00 AM,2,N,,2,31/07/2013
30/06/2013,CL10277,CL10277-1,2,7:44:00 AM,n_a,1,0,0,16,1,0,0,16,1,7:54:00 AM,0,N,,2,31/07/2013
30/06/2013,CL10278,CL10278-1,2,8:39:00 AM,n_a,1,0,0,17,2,0,0,16,2,8:49:00 AM,0,N,,2,31/07/2013
01/07/2013,CL10279,CL10279-1,2,8:40:00 AM,n_a,1,0,0,16,0,0,0,16,0,8:50:00 AM,0,N,,2,31/07/2013
01/07/2013,CL10280,CL10280-1,2,8:15:00 AM,n_a,1,0,0,17,0,0,0,17,0,8:25:00 AM,1,N,NOISE FORM NEARBY ROAD,2,31/07/2013
01/07/2013,CL10281,CL10281-1,2,7:53:00 AM,n_a,1,0,0,15,0,0,0,15,0,8:03:00 AM,0,N,,2,31/07/2013
01/07/2013,CL10282,CL10282-1,2,7:30:00 AM,n_a,1,0,0,14,0,0,0,14,0,7:40:00 AM,0,N,,2,31/07/2013
01/07/2013,CL10283,CL10283-1,2,6:43:00 AM,n_a,1,0,0,13,1,0,0,12,0,6:53:00 AM,1,N,NOISE FROM NEARBY COMPRESSOR STN,2,31/07/2013
01/07/2013,CL10285,CL10285-1,2,6:15:00 AM,n_a,1,0,0,14,0,0,0,13,0,6:25:00 AM,1,N,NOISE FROM NEARBY COMPRESSOR STN,2,31/07/2013
01/07/2013,CL10286,CL10286-1,2,4:51:00 AM,n_a,1,0,0,12,1,0,0,12,2,5:01:00 AM,1,N,,2,31/07/2013
01/07/2013,CL10287,CL10287-1,2,5:18:00 AM,n_a,1,0,0,13,1,0,0,13,1,5:28:00 AM,1,N,NOISE FROM NEARBY COMPRESSOR STN,2,31/07/2013
28/05/2013,CL10302,CL10302-1,22,9:35:00 AM,n_a,1,0,0,13,1,0,0,16,1,9:45:00 AM,0,N,Amy listened to Gabby's recording,22,31/07/2013
28/05/2013,CL10304,CL10304-1,22,8:48:00 AM,n_a,1,0,0,11,2,0,0,11,2,8:58:00 AM,0,N,Amy listened to Gabby's recording,22,31/07/2013
28/05/2013,CL10306,CL10306-1,2,9:15:00 AM,n_a,1,0,0,12,0,0,0,12,0,9:25:00 AM,0,N,,2,31/07/2013
28/05/2013,CL10307,CL10307-1,22,8:24:00 AM,n_a,1,0,0,10,2,0,0,11,2,8:34:00 AM,0,N,"SLIGHT NOISE FROM hwy, Amy listened to Gabby's recording",22,31/07/2013
28/05/2013,CL10309,CL10309-1,22,5:12:00 AM,n_a,1,0,0,11,3,0,0,11,3,5:22:00 AM,2,N,"SMALL CREEK NEARBY, Amy listened to Gabby's recording",22,31/07/2013
28/05/2013,CL10310,CL10310-1,22,5:58:00 AM,n_a,1,0,0,6,2,0,0,6,2,6:08:00 AM,0,N,Amy listened to Gabby's recording,22,31/07/2013
28/05/2013,CL10311,CL10311-1,22,6:42:00 AM,n_a,1,0,0,6,2,0,0,6,2,6:52:00 AM,0,N,Amy listened to Gabby's recording,22,31/07/2013
28/05/2013,CL10312,CL10312-1,22,7:28:00 AM,n_a,1,0,0,8,2,0,0,9,2,7:38:00 AM,0,N,Amy listened to Gabby's recording,22,31/07/2013
28/05/2013,CL10313,CL10313-1,2,8:29:00 AM,n_a,1,0,0,11,1,0,0,11,1,8:39:00 AM,0,N,,2,31/07/2013
28/05/2013,CL10315,CL10315-1,2,5:07:00 AM,n_a,1,0,0,8,2,0,0,5,2,5:17:00 AM,0,N,,2,31/07/2013
28/05/2013,CL10317,CL10317-1,2,7:50:00 AM,n_a,1,0,0,11,2,0,0,11,2,8:00:00 AM,1,N,RNBU JUST AFTER RECORDING,2,31/07/2013
28/05/2013,CL10318,CL10318-1,2,5:35:00 AM,n_a,1,0,0,5,1,0,0,4,1,5:45:00 AM,0,N,,2,31/07/2013
28/05/2013,CL10319,CL10319-1,2,7:18:00 AM,n_a,1,0,0,8,1,0,0,8,1,7:28:00 AM,0,N,,2,31/07/2013
28/05/2013,CL10320,CL10320-1,2,6:13:00 AM,n_a,1,0,0,5,1,0,0,4,1,6:23:00 AM,1,N,,2,31/07/2013
28/05/2013,CL10321,CL10321-1,2,6:40:00 AM,n_a,1,0,0,5,2,0,0,6,2,6:50:00 AM,0,N,,2,31/07/2013
02/07/2013,CL10395,CL10395-1,2,5:59:00 AM,n_a,1,2,0,16,0,3,0,16,0,6:09:00 AM,0,N,,2,31/07/2013
02/07/2013,CL10396,CL10396-1,2,5:25:00 AM,n_a,1,0,0,16,1,3,0,15,1,5:35:00 AM,0,N,,2,31/07/2013
02/07/2013,CL10397,CL10397-1,2,4:59:00 AM,n_a,1,0,0,20,0,0,0,16,0,5:09:00 AM,0,N,,2,31/07/2013
23/06/2013,CL11112,CL11112-1,48,6:32:00 AM,n_a,1,0,0,8,0,0,0,7,0,6:42:00 AM,0,Y,O/N Rain: previous late-afternoon.,48,31/07/2013
23/06/2013,CL11113,CL11113-1,48,5:50:00 AM,n_a,1,0,0,8,0,0,0,7,0,6:00:00 AM,0,Y,O/N Rain: previous late-afternoon.,48,31/07/2013
23/06/2013,CL11114,CL11114-1,48,9:13:00 AM,n_a,1,0,0,12,0,0,0,13,0,9:23:00 AM,0,Y,O/N Rain: previous late-afternoon. Heard a flock of waxwing (Cedar? Bohemian?) prior to count.,48,31/07/2013
23/06/2013,CL11115,CL11115-1,48,7:28:00 AM,n_a,1,0,0,11,0,0,0,10,0,7:38:00 AM,1,Y,O/N Rain: previous late-afternoon. Noise: faint highway noise.,48,31/07/2013
23/06/2013,CL11117,CL11117-1,82,5:16:00 AM,n_a,1,0,0,11,2,0,0,7,1,5:26:00 AM,1,Y,NOISE: ROAD.,82,31/07/2013
23/06/2013,CL11118,CL11118-1,48,8:25:00 AM,n_a,1,0,0,10,0,0,0,10,0,8:35:00 AM,0,y,O/N Rain: previous late-afternoon.,48,31/07/2013
23/06/2013,CL11119,CL11119-1,82,6:34:00 AM,n_a,1,0,0,9,0,0,0,8,0,6:44:00 AM,0,Y,NO RECORDING,82,31/07/2013
23/06/2013,CL11120,CL11120-1,82,6:02:00 AM,n_a,1,0,0,9,1,0,0,9,1,6:12:00 AM,1,Y,"NOISE: BOAT, WTDEER.",82,31/07/2013
23/06/2013,CL11121,CL11121-1,82,8:11:00 AM,n_a,1,0,0,11,0,0,0,12,0,8:21:00 AM,1,Y,NOISE: MOTOR…,82,31/07/2013
23/06/2013,CL11122,CL11122-1,82,7:30:00 AM,n_a,1,0,0,10,0,0,0,10,0,7:40:00 AM,1,Y,NOISE: BOAT.,82,31/07/2013
23/06/2013,CL11124,CL11124-1,82,9:02:00 AM,n_a,1,0,0,12,0,0,0,13,0,9:12:00 AM,0,Y,NO RECORDING,82,31/07/2013
23/06/2013,CL11193,CL11193-1,48,4:57:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:07:00 AM,1,Y,O/N Rain: previous late-afternoon. Noise: faint highway noise. Furrows/ruts from replanting of old clearcut throughout area.,48,31/07/2013
23/06/2013,CL11194,CL11194-1,82,9:34:00 AM,n_a,1,0,0,14,0,2,0,15,0,9:44:00 AM,0,Y,,82,31/07/2013
28/05/2013,CO10122,CO10122-1,98,10:07:00 AM,n_a,1,2,0,20,1,2,0,23,1,10:17:00 AM,1,N,"Weird sound like air escaping, Sphagnum popping? RCKI >250m from earlier. Noise army aircraft.",98,31/07/2013
28/05/2013,CO10124,CO10124-1,98,9:21:00 AM,n_a,1,1,0,23,0,2,0,21,0,9:31:00 AM,0,N,CANG from earlier PC.,98,31/07/2013
28/05/2013,CO10125,CO10125-1,59,9:30:00 AM,n_a,1,1,0,19,1,1,0,21,1,9:40:00 AM,2,Y,no recording,59,31/07/2013
28/05/2013,CO10126,CO10126-1,59,7:48:00 AM,n_a,1,2,0,14,1,1,0,16,1,7:58:00 AM,2,Y,"no recording, airplane noise",59,31/07/2013
28/05/2013,CO10127,CO10127-1,98,8:30:00 AM,n_a,1,2,0,17,1,2,0,19,1,8:40:00 AM,1,N,"CANG, NOFL, CORA, PISI from earlier PC. Noise aircraft.",98,31/07/2013
28/05/2013,CO10128,CO10128-1,98,7:54:00 AM,n_a,1,0,0,15,0,0,0,16,0,8:04:00 AM,1,N,"PISI, CANG, SACR from earlier PC. After PC 4 CORA, 2 AMCR FO, FL. Noise aircraft.",98,31/07/2013
28/05/2013,CO10129,CO10129-1,59,7:17:00 AM,n_a,1,1,0,10,0,1,0,10,0,7:27:00 AM,2,Y,"no recording, airplane noise",59,31/07/2013
28/05/2013,CO10130,CO10130-1,98,7:17:00 AM,n_a,1,0,0,9,0,0,0,13,0,7:27:00 AM,0,N,SACR from earlier PC.,98,31/07/2013
28/05/2013,CO10131,CO10131-1,98,5:51:00 AM,n_a,1,0,0,7,0,0,0,4,0,6:01:00 AM,0,N,,98,31/07/2013
28/05/2013,CO10132,CO10132-1,98,6:39:00 AM,n_a,1,0,0,5,1,0,0,4,1,6:49:00 AM,0,N,SACR from earlier PC.,98,31/07/2013
28/05/2013,CO10133,CO10133-1,59,6:38:00 AM,n_a,1,2,0,7,1,2,0,7,1,6:48:00 AM,2,Y,no recording,59,31/07/2013
28/05/2013,CO10134,CO10134-1,59,6:05:00 AM,n_a,1,0,0,5,1,0,0,5,1,6:15:00 AM,2,Y,no recording,59,31/07/2013
28/05/2013,CO10170,CO10170-1,59,5:31:00 AM,n_a,1,0,0,6,1,0,0,3,1,5:41:00 AM,0,Y,no recording,59,31/07/2013
28/05/2013,CO10171,CO10171-1,59,8:38:00 AM,n_a,1,2,0,18,0,3,0,22,1,8:48:00 AM,2,Y,"no recording, airplane noise",59,31/07/2013
26/05/2013,CO10202,CO10202-1,98,5:28:00 AM,n_a,1,0,0,7,1,0,0,5,1,5:38:00 AM,0,Y,"GRAJ AND DEJU AFTER, SACR RECORDED BY OTHER OBSERVER. COYOTE 535.",98,31/07/2013
24/05/2013,CO10204,CO10204-1,59,7:45:00 AM,n_a,1,3,0,16,1,3,0,16,1,7:55:00 AM,2,N,"no recording, WIND GUSTING TO 4/5 (HARD TO HEAR BIRDS) NO MORE PCs ON THIS DAY",59,31/07/2013
26/05/2013,CO10205,CO10205-1,59,5:16:00 AM,n_a,1,1,0,9,3,0,0,7,3,5:26:00 AM,0,Y,no recording; SONGMETER NOT WORKING,59,31/07/2013
24/05/2013,CO10209,CO10209-1,59,6:56:00 AM,n_a,1,3,0,17,2,4,0,16,1,7:06:00 AM,0,N,"no recording, WIND GUSTING TO 5 (HARD TO HEAR AT POINTS)",59,31/07/2013
26/05/2013,CO10212,CO10212-1,59,6:54:00 AM,n_a,1,1,0,9,3,1,0,9,3,7:04:00 AM,0,Y,no recording; SONGMETER NOT WORKING,59,31/07/2013
24/05/2013,CO10213,CO10213-1,59,6:16:00 AM,n_a,1,2,0,8,1,2,0,8,1,6:26:00 AM,0,N,"no recording, CCSP singing after PC",59,31/07/2013
24/05/2013,CO10214,CO10214-1,98,5:39:00 AM,n_a,1,2,0,10,0,2,0,7,0,5:49:00 AM,1,N,AMRE AFTER.,98,31/07/2013
24/05/2013,CO10215,CO10215-1,59,5:30:00 AM,n_a,1,2,0,11,1,3,0,13,2,5:40:00 AM,0,N,"no recording, WIND GUSTING TO 4 AT END",59,31/07/2013
24/05/2013,CO10216,CO10216-1,98,6:26:00 AM,n_a,1,2,0,9,1,2,0,10,1,6:36:00 AM,1,N,,98,31/07/2013
26/05/2013,CO10217,CO10217-1,98,7:12:00 AM,n_a,1,1,0,9,3,1,0,9,3,7:22:00 AM,0,Y,SACR from earlier PC.,98,31/07/2013
24/05/2013,CO10221,CO10221-1,98,7:21:00 AM,n_a,1,2,0,12,2,2,0,13,2,7:31:00 AM,1,N,"Gusts 3W, 2N, FROGS.",98,31/07/2013
24/05/2013,CO10222,CO10222-1,98,8:12:00 AM,n_a,1,3,0,15,2,3,0,15,2,8:22:00 AM,2,N,"WTSP call AFTER. Gusts 4W, 3N.",98,31/07/2013
26/05/2013,CO10223,CO10223-1,98,10:19:00 AM,n_a,1,2,0,15,2,2,0,14,2,10:29:00 AM,1,Y,"GUSTS 3W, 2N.",98,31/07/2013
26/05/2013,CO10224,CO10224-1,98,9:23:00 AM,n_a,1,2,0,10,3,2,0,11,3,9:33:00 AM,1,Y,HETH CALL AFTER.,98,31/07/2013
26/05/2013,CO10227,CO10227-1,98,7:59:00 AM,n_a,1,2,0,9,3,2,0,9,3,8:09:00 AM,1,Y,SACR from earlier PC. BAWW IN ASPEN AFTER. NOISE BUGS AND AW LEAVES.,98,31/07/2013
26/05/2013,CO10228,CO10228-1,98,8:47:00 AM,n_a,1,2,0,11,3,2,0,11,3,8:57:00 AM,1,Y,SACR from earlier PC.,98,31/07/2013
26/05/2013,CO10229,CO10229-1,59,8:23:00 AM,n_a,1,2,0,10,3,2,0,10,3,8:33:00 AM,0,Y,no recording; WIND GUSTING TO 3,59,31/07/2013
26/05/2013,CO10232,CO10232-1,59,8:34:00 AM,n_a,1,0,0,11,3,2,0,11,3,8:44:00 AM,0,Y,no recording,59,31/07/2013
26/05/2013,CO10233,CO10233-1,59,10:20:00 AM,n_a,1,2,0,16,2,3,0,16,2,10:30:00 AM,0,Y,no recording; BOREAL CHORUS FROGS; DIFFICULT TO HEAR BIRDS >50M,59,31/07/2013
26/05/2013,CO10234,CO10234-1,59,9:46:00 AM,n_a,1,1,0,12,2,2,0,15,2,9:56:00 AM,0,Y,no recording; SWAMP NEARBY,59,31/07/2013
