Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
CL10280,CL102,NAD83,No,n_a,n_a,n_a,-113.091971,55.262589,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10281,CL102,NAD83,No,n_a,n_a,n_a,-113.092454,55.25909,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10282,CL102,NAD83,No,n_a,n_a,n_a,-113.094143,55.256689,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10283,CL102,NAD83,No,n_a,n_a,n_a,-113.098874,55.249929,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10285,CL102,NAD83,No,n_a,n_a,n_a,-113.094914,55.24717,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10286,CL102,NAD83,No,n_a,n_a,n_a,-113.088506,55.242934,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10287,CL102,NAD83,No,n_a,n_a,n_a,-113.085708,55.245497,GPS,point,2,TRUE,01/07/2013,Road,,,,,
CL10302,CL103,NAD83,No,n_a,n_a,n_a,-113.2039,55.140396,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10304,CL103,NAD83,No,n_a,n_a,n_a,-113.203899,55.144815,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10306,CL103,NAD83,No,n_a,n_a,n_a,-113.194651,55.126107,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10307,CL103,NAD83,No,n_a,n_a,n_a,-113.198443,55.146462,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10309,CL103,NAD83,No,n_a,n_a,n_a,-113.188637,55.134438,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10310,CL103,NAD83,No,n_a,n_a,n_a,-113.188527,55.137288,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10311,CL103,NAD83,No,n_a,n_a,n_a,-113.18733,55.140047,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10312,CL103,NAD83,No,n_a,n_a,n_a,-113.188082,55.143163,GIS,point,22,TRUE,28/05/2013,Road,,,,,
CL10313,CL103,NAD83,No,n_a,n_a,n_a,-113.180216,55.129115,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10315,CL103,NAD83,No,n_a,n_a,n_a,-113.174846,55.129521,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10317,CL103,NAD83,No,n_a,n_a,n_a,-113.172799,55.132392,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10318,CL103,NAD83,No,n_a,n_a,n_a,-113.170414,55.127477,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10319,CL103,NAD83,No,n_a,n_a,n_a,-113.167412,55.132005,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10320,CL103,NAD83,No,n_a,n_a,n_a,-113.165465,55.128961,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10321,CL103,NAD83,No,n_a,n_a,n_a,-113.160629,55.127241,GIS,point,2,TRUE,28/05/2013,Road,,,,,
CL10395,CL103,NAD83,No,n_a,n_a,n_a,-113.16815,55.122772,GPS,point,2,TRUE,02/07/2013,Road,,,,,
CL10396,CL103,NAD83,No,n_a,n_a,n_a,-113.178841,55.122303,GPS,point,2,TRUE,02/07/2013,Road,,,,,
CL10397,CL103,NAD83,No,n_a,n_a,n_a,-113.178514,55.119151,GPS,point,2,TRUE,02/07/2013,Road,,,,,
CL11112,CL111,NAD83,No,n_a,n_a,n_a,-113.278595,55.143153,GIS,point,48,TRUE,23/06/2013,Road,,,,,
CL11113,CL111,NAD83,No,n_a,n_a,n_a,-113.281314,55.146354,GIS,point,48,TRUE,23/06/2013,Road,,,,,
CL11114,CL111,NAD83,No,n_a,n_a,n_a,-113.282471,55.11943,GIS,point,48,TRUE,23/06/2013,Road,,,,,
CL11115,CL111,NAD83,No,n_a,n_a,n_a,-113.282637,55.133285,GIS,point,48,TRUE,23/06/2013,Road,,,,,
CL11117,CL111,NAD83,No,n_a,n_a,n_a,-113.285261,55.143138,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11118,CL111,NAD83,No,n_a,n_a,n_a,-113.28854,55.123553,GIS,point,48,TRUE,23/06/2013,Road,,,,,
CL11119,CL111,NAD83,No,n_a,n_a,n_a,-113.294781,55.138691,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11120,CL111,NAD83,No,n_a,n_a,n_a,-113.296939,55.141666,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11121,CL111,NAD83,No,n_a,n_a,n_a,-113.304081,55.134894,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11122,CL111,NAD83,No,n_a,n_a,n_a,-113.306402,55.138525,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11124,CL111,NAD83,No,n_a,n_a,n_a,-113.313639,55.129464,GIS,point,82,TRUE,23/06/2013,Road,,,,,
CL11193,CL111,NAD83,No,n_a,n_a,n_a,-113.285411,55.150643,GPS,point,48,TRUE,23/06/2013,Road,,,,,
CL11194,CL111,NAD83,No,n_a,n_a,n_a,-113.313737,55.126762,GPS,point,82,TRUE,23/06/2013,Road,,,,,
CO10122,CO101,NAD83,No,n_a,n_a,n_a,-111.989173,55.352976,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10124,CO101,NAD83,No,n_a,n_a,n_a,-111.985197,55.355458,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10125,CO101,NAD83,No,n_a,n_a,n_a,-111.983704,55.351592,GIS,point,59,TRUE,28/05/2013,Road,,,,,
CO10126,CO101,NAD83,No,n_a,n_a,n_a,-111.977838,55.344631,GIS,point,59,TRUE,28/05/2013,Road,,,,,
CO10127,CO101,NAD83,No,n_a,n_a,n_a,-111.97897,55.354647,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10128,CO101,NAD83,No,n_a,n_a,n_a,-111.975576,55.356799,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10129,CO101,NAD83,No,n_a,n_a,n_a,-111.971348,55.34744,GIS,point,59,TRUE,28/05/2013,Road,,,,,
CO10130,CO101,NAD83,No,n_a,n_a,n_a,-111.975009,55.360332,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10131,CO101,NAD83,No,n_a,n_a,n_a,-111.969768,55.353989,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10132,CO101,NAD83,No,n_a,n_a,n_a,-111.970164,55.357349,GIS,point,98,TRUE,28/05/2013,Road,,,,,
CO10133,CO101,NAD83,No,n_a,n_a,n_a,-111.963834,55.345026,GIS,point,59,TRUE,28/05/2013,Road,,,,,
CO10134,CO101,NAD83,No,n_a,n_a,n_a,-111.963114,55.348248,GIS,point,59,TRUE,28/05/2013,Road,,,,,
CO10170,CO101,NAD83,No,n_a,n_a,n_a,-111.958573,55.350044,GPS,point,59,TRUE,28/05/2013,Road,,,,,
CO10171,CO101,NAD83,No,n_a,n_a,n_a,-111.986669,55.344445,GPS,point,59,TRUE,28/05/2013,Road,,,,,
CO10202,CO102,NAD83,No,n_a,n_a,n_a,-111.72423,55.368877,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10204,CO102,NAD83,No,n_a,n_a,n_a,-111.727258,55.38103,GIS,point,59,TRUE,24/05/2013,Road,,,,,
CO10205,CO102,NAD83,No,n_a,n_a,n_a,-111.720484,55.36543,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10209,CO102,NAD83,No,n_a,n_a,n_a,-111.71721,55.381066,GIS,point,59,TRUE,24/05/2013,Road,,,,,
CO10212,CO102,NAD83,No,n_a,n_a,n_a,-111.706068,55.363208,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10213,CO102,NAD83,No,n_a,n_a,n_a,-111.711683,55.381678,GIS,point,59,TRUE,24/05/2013,Road,,,,,
CO10214,CO102,NAD83,No,n_a,n_a,n_a,-111.70822,55.385712,GIS,point,98,TRUE,24/05/2013,Road,,,,,
CO10215,CO102,NAD83,No,n_a,n_a,n_a,-111.705609,55.379738,GIS,point,59,TRUE,24/05/2013,Road,,,,,
CO10216,CO102,NAD83,No,n_a,n_a,n_a,-111.705201,55.382995,GIS,point,98,TRUE,24/05/2013,Road,,,,,
CO10217,CO102,NAD83,No,n_a,n_a,n_a,-111.700706,55.370508,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10221,CO102,NAD83,No,n_a,n_a,n_a,-111.698805,55.381455,GIS,point,98,TRUE,24/05/2013,Road,,,,,
CO10222,CO102,NAD83,No,n_a,n_a,n_a,-111.699536,55.384652,GIS,point,98,TRUE,24/05/2013,Road,,,,,
CO10223,CO102,NAD83,No,n_a,n_a,n_a,-111.694088,55.37258,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10224,CO102,NAD83,No,n_a,n_a,n_a,-111.694016,55.375974,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10227,CO102,NAD83,No,n_a,n_a,n_a,-111.688534,55.370972,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10228,CO102,NAD83,No,n_a,n_a,n_a,-111.68816,55.375442,GIS,point,98,TRUE,26/05/2013,Road,,,,,
CO10229,CO102,NAD83,No,n_a,n_a,n_a,-111.685512,55.367903,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10232,CO102,NAD83,No,n_a,n_a,n_a,-111.679242,55.367111,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10233,CO102,NAD83,No,n_a,n_a,n_a,-111.677044,55.370401,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10234,CO102,NAD83,No,n_a,n_a,n_a,-111.673823,55.36659,GIS,point,59,TRUE,26/05/2013,Road,,,,,
CO10270,CO102,NAD83,No,n_a,n_a,n_a,-111.716991,55.360428,GPS,point,59,TRUE,26/05/2013,Road,,,,,
CO10271,CO102,NAD83,No,n_a,n_a,n_a,-111.71487,55.386006,GPS,point,59,TRUE,24/05/2013,Road,,,,,
CO10282,CO102,NAD83,No,n_a,n_a,n_a,-111.711643,55.370457,MAP,point,98,TRUE,26/05/2013,Road,,,,,
CO10290,CO102,NAD83,No,n_a,n_a,n_a,-111.698019,55.36531,GPS,point,59,TRUE,26/05/2013,Road,,,,,
CO10403,CO104,NAD83,No,n_a,n_a,n_a,-111.219443,55.404309,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10404,CO104,NAD83,No,n_a,n_a,n_a,-111.214856,55.412997,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10405,CO104,NAD83,No,n_a,n_a,n_a,-111.214819,55.408193,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10406,CO104,NAD83,No,n_a,n_a,n_a,-111.211153,55.418139,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10407,CO104,NAD83,No,n_a,n_a,n_a,-111.208576,55.410231,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10408,CO104,NAD83,No,n_a,n_a,n_a,-111.205265,55.418121,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10409,CO104,NAD83,No,n_a,n_a,n_a,-111.207755,55.401358,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10410,CO104,NAD83,No,n_a,n_a,n_a,-111.202665,55.414739,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10411,CO104,NAD83,No,n_a,n_a,n_a,-111.199967,55.411519,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10412,CO104,NAD83,No,n_a,n_a,n_a,-111.197218,55.414462,GIS,point,41,TRUE,01/06/2013,Road,,,,,
CO10416,CO104,NAD83,No,n_a,n_a,n_a,-111.181401,55.424449,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10417,CO104,NAD83,No,n_a,n_a,n_a,-111.181427,55.413596,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10418,CO104,NAD83,No,n_a,n_a,n_a,-111.178115,55.410064,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10419,CO104,NAD83,No,n_a,n_a,n_a,-111.171032,55.413604,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10420,CO104,NAD83,No,n_a,n_a,n_a,-111.172293,55.405595,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10421,CO104,NAD83,No,n_a,n_a,n_a,-111.166656,55.412176,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10423,CO104,NAD83,No,n_a,n_a,n_a,-111.160797,55.408935,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10424,CO104,NAD83,No,n_a,n_a,n_a,-111.160443,55.405724,GIS,point,86,TRUE,01/06/2013,Road,,,,,
CO10601,CO106,NAD83,No,n_a,n_a,n_a,-110.822354,55.430532,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10602,CO106,NAD83,No,n_a,n_a,n_a,-110.818615,55.428442,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10604,CO106,NAD83,No,n_a,n_a,n_a,-110.813643,55.422315,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10609,CO106,NAD83,No,n_a,n_a,n_a,-110.800573,55.4239,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10610,CO106,NAD83,No,n_a,n_a,n_a,-110.799255,55.426688,MAP,point,2,TRUE,02/06/2013,Road,,,,,
CO10611,CO106,NAD83,No,n_a,n_a,n_a,-110.794028,55.43615,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10613,CO106,NAD83,No,n_a,n_a,n_a,-110.794437,55.425142,GIS,point,2,TRUE,02/06/2013,Road,,,,,
CO10614,CO106,NAD83,No,n_a,n_a,n_a,-110.78729,55.431071,GIS,point,59,TRUE,02/06/2013,Road,,,,,
CO10615,CO106,NAD83,No,n_a,n_a,n_a,-110.786515,55.417967,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10616,CO106,NAD83,No,n_a,n_a,n_a,-110.781468,55.431742,GIS,point,59,TRUE,02/06/2013,Road,,,,,
CO10617,CO106,NAD83,No,n_a,n_a,n_a,-110.780032,55.435616,GIS,point,59,TRUE,02/06/2013,Road,,,,,
CO10618,CO106,NAD83,No,n_a,n_a,n_a,-110.776424,55.439487,GIS,point,59,TRUE,02/06/2013,Road,,,,,
CO10619,CO106,NAD83,No,n_a,n_a,n_a,-110.778212,55.422766,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10620,CO106,NAD83,No,n_a,n_a,n_a,-110.773278,55.424702,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10621,CO106,NAD83,No,n_a,n_a,n_a,-110.769728,55.426832,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10622,CO106,NAD83,No,n_a,n_a,n_a,-110.770767,55.417132,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10623,CO106,NAD83,No,n_a,n_a,n_a,-110.767428,55.413505,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10624,CO106,NAD83,No,n_a,n_a,n_a,-110.765604,55.416445,GIS,point,98,TRUE,02/06/2013,Road,,,,,
CO10685,CO106,NAD83,No,n_a,n_a,n_a,-110.754701,55.416682,GPS,point,98,TRUE,02/06/2013,Road,,,,,
CO10690,CO106,NAD83,No,n_a,n_a,n_a,-110.782754,55.442849,GPS,point,59,TRUE,02/06/2013,Road,,,,,
CO10691,CO106,NAD83,No,n_a,n_a,n_a,-110.772565,55.443396,GPS,point,59,TRUE,02/06/2013,Road,,,,,
