AMWI,American Wigeon,Canard d'Amérique,Anas americana,36
ATTW,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,1008
BADO,Barred Owl,Chouette rayée,Strix varia,730
BAEA,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,289
BAWW,Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,1627
BBWA,Bay-breasted Warbler,Paruline à poitrine baie,Setophaga castanea,1664
BBWO,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,1009
BCCH,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,1396
BEKI,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,948
BHCO,Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,1943
BHVI,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,1308
BLBW,Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,1665
BLJA,Blue Jay,Geai bleu,Cyanocitta cristata,1345
BLPW,Blackpoll Warbler,Paruline rayée,Setophaga striata,1668
BOCH,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,1400
BOGU,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,488
BOWA,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,1601
BRBL,Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,1933
BRCR,Brown Creeper,Grimpereau brun,Certhia americana,1413
BTNW,Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,1686
BWHA,Broad-winged Hawk,Petite Buse,Buteo platypterus,318
BWTE,Blue-winged Teal,Sarcelle à ailes bleues,Anas discors,43
CAGU,California Gull,Goéland de Californie,Larus californicus,503
CANG,Canada Goose,Bernache du Canada,Branta canadensis,23
CANV,Canvasback,Fuligule à dos blanc,Aythya valisineria,51
CAWA,Canada Warbler,Paruline du Canada,Cardellina canadensis,1695
CCSP,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,1836
CEDW,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,1602
CHSP,Chipping Sparrow,Bruant familier,Spizella passerina,1835
CMWA,Cape May Warbler,Paruline tigrée,Setophaga tigrina,1659
COGO,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,69
COGR,Common Grackle,Quiscale bronzé,Quiscalus quiscula,1934
COLO,Common Loon,Plongeon huard,Gavia immer,138
CONW,Connecticut Warbler,Paruline à gorge grise,Oporornis agilis,1639
CORA,Common Raven,Grand Corbeau,Corvus corax,1367
COSN,Common Snipe,Bécassine des marais,Gallinago gallinago,473
COYE,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650
DCCO,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,227
DEJU,Dark-eyed Junco,Junco ardoisé,Junco hyemalis,1866
DOWO,Downy Woodpecker,Pic mineur,Picoides pubescens,1002
EAKI,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,1245
EAPH,Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,1202
EVGR,Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,2026
FOSP,Fox Sparrow,Bruant fauve,Passerella iliaca,1856
FOTE,Forster's Tern,Sterne de Forster,Sterna forsteri,535
FRGU,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,495
GCKI,Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,1474
GGOW,Great Gray Owl,Chouette lapone,Strix nebulosa,732
GRAJ,Gray Jay,Mésangeai du Canada,Perisoreus canadensis,1327
GRYE,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,423
GWTE,Green-winged Teal,Sarcelle d'hiver,Anas crecca,50
HAWO,Hairy Woodpecker,Pic chevelu,Picoides villosus,1003
HETH,Hermit Thrush,Grive solitaire,Catharus guttatus,1535
KILL,Killdeer,Pluvier kildir,Charadrius vociferus,404
LCSP,Le Conte's Sparrow,Bruant de Le Conte,Ammodramus leconteii,1851
LEFL,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191
LEYE,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,426
LISP,Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,1858
MALL,Mallard,Canard colvert,Anas platyrhynchos,38
MAWA,Magnolia Warbler,Paruline à tête cendrée,Setophaga magnolia,1663
MOWA,Mourning Warbler,Paruline triste,Geothlypis philadelphia,1643
NAWA,Nashville Warbler,Paruline à joues grises,Oreothlypis ruficapilla,1636
NHOW,Northern Hawk Owl,Chouette épervière,Surnia ulula,717
NOFL,Northern Flicker,Pic flamboyant,Colaptes auratus,1018
NOGO,Northern Goshawk,Autour des palombes,Accipiter gentilis,303
NOHA,Northern Harrier,Busard Saint-Martin,Circus cyaneus,293
NOPI,Northern Pintail,Canard pilet,Anas acuta,47
NOWA,Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,1623
OCWA,Orange-crowned Warbler,Paruline verdâtre,Oreothlypis celata,1633
OSFL,Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,1175
OVEN,Ovenbird,Paruline couronnée,Seiurus aurocapilla,1620
PAWA,Palm Warbler,Paruline à couronne rousse,Setophaga palmarum,1670
PHVI,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,1314
PISI,Pine Siskin,Tarin des pins,Spinus pinus,2011
PIWO,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,1024
PUFI,Purple Finch,Roselin pourpré,Carpodacus purpureus,2002
RBGR,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,1903
RBGU,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,500
RBNU,Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,1409
RCKI,Ruby-crowned Kinglet,Roitelet à couronne rubis,Regulus calendula,1475
RECR,Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,2005
REVI,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315
RNDU,Ring-necked Duck,Fuligule à collier,Aythya collaris,54
RNGR,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,144
RTHA,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,325
RUBL,Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,1932
RUGR,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,121
RWBL,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,1919
SACR,Sandhill Crane,Grue du Canada,Grus canadensis,385
SAVS,Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,1847
SNBU,Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,1618
SORA,Sora,Marouette de Caroline,Porzana carolina,369
SOSA,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,419
SOSP,Song Sparrow,Bruant chanteur,Melospiza melodia,1857
SPGR,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,124
SPSA,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,417
SSHA,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,299
SWSP,Swamp Sparrow,Bruant des marais,Melospiza georgiana,1859
SWTH,Swainson's Thrush,Grive à dos olive,Catharus ustulatus,1534
TEWA,Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,1632
TRES,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,1380
UNAC,Unidentified Accipiter,Faucon non identifié,,9999.001
UNBL,Unidentified Blackbird,Quiscale non identifié,,1943.2
UNCH,Unidentified Chickadee,Mésange non identifié,,9999.007
UNDU,Unidentified Duck,Canard non identifié,,9999.013
UNFL,Unidentified Flycatcher,Moucherolle non identifié,,1250.1
UNGR,Unidentified Grebe,Grèbe non identifié,,9999.021
UNGU,Unidentified Gull,Mouette non identifié,,9999.022
UNKN,Unidentified (Unknown) Bird Species,Oiseaux non identifié,,9999.026
UNOW,Unidentified Owl,Chouette non identifié,,741.1
UNSA,Unidentified Sapsucker,Pic buveur de sève non identifié,Sphyrapicus sp.,997.3
UNSB,Unidentified Shorebird,Oiseaux de rivage non identifié,,9999.043
UNSP,Unidentified Sparrow,Bruant non identifié,,1867.2
UNTH,Unidentified Thrush,Muguet non identifié,,9999.05
UNTN,Unidentified Tern,Sterne non identifié,,9999.053
UNVI,Unidentified Vireo,Viréo non identifié,,9999.055
UNWA,Unidentified Warbler,Paruline non identifié,,1705.1
UNWO,Unidentified Woodpecker,Pic non identifié,,1028.1
UNYE,Unidentified Yellowlegs,Chevalier non identifié,,9999.057
VEER,Veery,Grive fauve,Catharus fuscescens,1531
WAVI,Warbling Vireo,Viréo mélodieux,Vireo gilvus,1312
WBNU,White-breasted Nuthatch,Sittelle à poitrine blanche,Sitta carolinensis,1410
WETA,Western Tanager,Piranga à tête rouge,Piranga ludoviciana,1887
WEWP,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,1179
WISN,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,472
WIWA,Wilson's Warbler,Paruline à calotte noire,Cardellina pusilla,1696
WIWR,Winter Wren,Troglodyte des forêts,Troglodytes hiemalis,1451
WTSP,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861
WWCR,White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,2007
YBFL,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,1186
YBSA,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,995
YRWA,Yellow-rumped Warbler,Paruline à croupion jaune,Setophaga coronata,1673
YWAR,Yellow Warbler,Paruline jaune,Setophaga petechia,1666
