Attribution / ,"Environment and Climate Change Canada, [Year Accessed].  Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_SpeciesObservationLog.csv, generated 2012-03-07. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_SpeciesObservationLog.csv, générée 2012-03-07. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance,The author(s) acknowledge Environment and Climate Change Canada and Brion Energy for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ,"Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et Brion Energy pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 ,PCSiteID,StationID,Date,TimeStart,SampleID,VisitID,ObserverID,Species,TimeInterval,Direction,Distance,DetectType1,DetectType2,DetectType3,Age,Sex,Activity1,Activity2,Activity3,ActivityNote,BirdObsNote
CL20001G-140613-001,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,EVGR,5,1,1,C,,,U,U,,,,,
CL20001G-140613-002,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,CMWA,1,1,1,S,,,A,M,,,,,
CL20001G-140613-003,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,CMWA,1,4,1,S,,,A,M,,,,,
CL20001G-140613-004,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,CHSP,5,2,1,C,,,A,U,,,,,
CL20001G-140613-005,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,WIWR,1,2,1,S,,,A,M,,,,,
CL20001G-140613-006,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,RESQ,1,2,1,S,,,A,U,,,,,
CL20001G-140613-007,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,YRWA,3,3,1,S,,,A,M,,,,,
CL20001G-140613-008,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,YRWA,1,1,2,S,,,A,M,,,,,
CL20001G-140613-009,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,BOCH,3,4,1,C,,,U,U,,,,,
CL20001G-140613-010,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,BHVI,3,1,2,S,,,A,M,,,,,
CL20001G-140613-011,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,RBNU,1,1,2,C,,,U,U,,,,,
CL20001G-140613-012,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,RBGR,5,1,2,S,,,A,M,,,,,
CL20001G-140613-013,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,CEDW,1,2,2,C,,,A,U,,,,,
CL20001G-140613-014,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,RCKI,1,2,2,S,,,A,M,,,,,
CL20001G-140613-015,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,WIWA,5,3,2,S,,,A,M,,,,,
CL20001G-140613-016,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,WTSP,1,3,2,S,,,A,M,,,,,
CL20001G-140613-017,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,WETA,5,4,2,S,,,A,M,,,,,
CL20001G-140613-018,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,REVI,1,1,3,S,,,A,M,,,,,
CL20001G-140613-019,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,REVI,1,4,3,S,,,A,M,,,,,
CL20001G-140613-020,CL20001G,CL20001G-1,13/06/2014,5:05:00 AM,n_a,1,28,SWTH,3,3,3,S,,,A,M,,,,,
CL20002G-140613-001,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,YBSA,5,1,1,C,,,A,U,,,,,
CL20002G-140613-002,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,OVEN,1,1,2,S,,,A,M,,,,,
CL20002G-140613-003,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,BHVI,1,1,2,S,,,A,M,,,,,
CL20002G-140613-004,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,CONW,1,1,2,S,,,A,M,,,,,
CL20002G-140613-005,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,WTSP,5,1,3,S,,,A,M,,,,,
CL20002G-140613-006,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,MOWA,1,2,1,S,,,A,M,,,,,
CL20002G-140613-007,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,YRWA,5,2,2,S,,,A,M,,,,,
CL20002G-140613-008,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,RESQ,5,2,2,C,,,U,U,,,,,
CL20002G-140613-009,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,OVEN,1,3,2,S,,,A,M,,,,,
CL20002G-140613-010,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,BBWA,1,4,1,S,,,A,M,,,,,
CL20002G-140613-011,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,BHVI,1,4,2,S,,,A,M,,,,,
CL20002G-140613-012,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,BHVI,1,4,2,S,,,A,M,,,,,
CL20002G-140613-013,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,TEWA,1,4,2,S,,,A,M,,,,,
CL20002G-140613-014,CL20002G,CL20002G-1,13/06/2014,8:45:00 AM,n_a,1,32,RESQ,1,4,2,C,,,U,U,,,,,
CL20003G-140613-001,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,REVI,1,1,2,S,,,A,M,,,,,
CL20003G-140613-002,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,WTSP,1,1,2,S,,,A,M,,,,,
CL20003G-140613-003,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
CL20003G-140613-004,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,AMRO,1,1,2,S,,,A,M,,,,,
CL20003G-140613-005,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,RESQ,1,1,2,C,,,U,U,,,,,
CL20003G-140613-006,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,UNWO,1,1,1,C,,,A,U,FE,,,,
CL20003G-140613-007,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,TEWA,1,1,1,S,,,A,M,,,,,
CL20003G-140613-008,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,EVGR,1,1,1,C,,,A,P,FO,,,,
CL20003G-140613-009,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,EVGR,1,1,1,C,,,A,P,FO,,,,
CL20003G-140613-010,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,CMWA,5,2,1,S,,,A,M,,,,,
CL20003G-140613-011,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,SWTH,1,2,1,S,,,A,M,,,,,
CL20003G-140613-012,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,DEJU,1,3,2,S,,,A,M,,,,,
CL20003G-140613-013,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,RESQ,5,3,2,C,,,U,U,,,,,
CL20003G-140613-014,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,AMRE,1,4,1,S,,,A,M,,,,,
CL20003G-140613-015,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,CMWA,5,4,1,S,,,A,M,,,,,
CL20003G-140613-016,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,WIWR,1,4,1,S,,,A,M,,,,,
CL20003G-140613-017,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,YRWA,1,4,1,S,,,A,M,,,,,
CL20003G-140613-018,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,MOWA,1,4,2,S,,,A,M,,,,,
CL20003G-140613-019,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,BHVI,1,4,2,S,,,A,M,,,,,
CL20003G-140613-020,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,BHVI,3,4,2,S,,,A,M,,,,,
CL20003G-140613-021,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,YRWA,5,4,2,S,,,A,M,,,,,
CL20003G-140613-022,CL20003G,CL20003G-1,13/06/2014,7:35:00 AM,n_a,1,32,GRAJ,5,4,2,S,,,A,M,,,,,
CL20004G-140613-001,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,RESQ,3,1,1,C,,,A,U,,,,,
CL20004G-140613-002,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,YRWA,5,2,1,S,,,A,M,,,,,
CL20004G-140613-003,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,HETH,1,2,1,C,,,A,M,,,,,
CL20004G-140613-004,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,RCKI,3,3,1,S,,,A,M,,,,,
CL20004G-140613-005,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,RCKI,1,4,2,S,,,A,M,,,,,
CL20004G-140613-006,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,DEJU,1,3,1,S,,,A,M,,,,,
CL20004G-140613-007,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,WETA,1,1,2,S,,,A,M,,,,,
CL20004G-140613-008,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,WIWR,1,2,2,S,,,A,M,,,,,
CL20004G-140613-009,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,WWCR,3,3,2,C,,,U,U,,,,,
CL20004G-140613-010,CL20004G,CL20004G-1,13/06/2014,6:06:00 AM,n_a,1,28,HETH,1,4,2,S,,,A,M,,,,,
CL20005G-140613-001,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,YRWA,1,1,1,S,,,A,M,,,,,
CL20005G-140613-002,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,YRWA,5,2,1,C,V,,A,M,CH,,,,
CL20005G-140613-003,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,YRWA,5,2,1,C,V,,A,M,CH,,,,
CL20005G-140613-004,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,YRWA,1,3,1,S,,,A,M,,,,,
CL20005G-140613-005,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,SWTH,1,3,1,S,,,A,M,,,,,
CL20005G-140613-006,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,TEWA,1,4,1,S,,,A,M,,,,,
CL20005G-140613-007,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,RBNU,5,1,2,C,,,A,U,,,,,
CL20005G-140613-008,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,OVEN,1,1,2,S,,,A,M,,,,,
CL20005G-140613-009,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,OVEN,1,4,2,S,,,A,M,,,,,
CL20005G-140613-010,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,RESQ,5,2,2,C,,,U,U,,,,,
CL20005G-140613-011,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,RCKI,3,2,2,S,,,A,M,,,,,
CL20005G-140613-012,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,YBSA,5,2,2,C,,,A,U,,,,,
CL20005G-140613-013,CL20005G,CL20005G-1,13/06/2014,9:02:00 AM,n_a,1,28,BHVI,5,4,2,S,,,A,M,,,,,
CL20005N-140613-001,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,CHSP,3,1,1,C,,,A,U,,,,,
CL20005N-140613-002,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,CHSP,3,1,1,S,,,A,M,,,,,
CL20005N-140613-003,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,BOCH,5,1,1,C,,,A,U,,,,,
CL20005N-140613-004,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
CL20005N-140613-005,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
CL20005N-140613-006,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
CL20005N-140613-007,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,WTSP,1,1,3,S,,,A,M,,,,,
CL20005N-140613-008,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,WWCR,1,1,2,C,,,U,U,FO,,,,"Probably in a flock, but number unknown"
CL20005N-140613-009,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,DEJU,5,2,1,C,,,A,U,,,,,
CL20005N-140613-010,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,RESQ,1,2,2,C,,,U,U,,,,,
CL20005N-140613-011,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,TEWA,5,2,2,S,,,A,M,,,,,
CL20005N-140613-012,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,HETH,3,2,2,S,,,A,M,,,,,
CL20005N-140613-013,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,BLJA,5,3,2,C,,,A,U,,,,,
CL20005N-140613-014,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,BBWA,1,4,2,S,,,A,M,,,,,
CL20005N-140613-015,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,YRWA,1,4,2,S,,,A,M,,,,,
CL20005N-140613-016,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,WIWR,1,4,2,S,,,A,M,,,,,
CL20005N-140613-017,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,SWTH,1,4,2,S,,,A,M,,,,,
CL20005N-140613-018,CL20005N,CL20005N-1,13/06/2014,6:35:00 AM,n_a,1,32,SOSA,1,4,2,C,,,A,U,,,,,
CL20005W-140613-001,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,COLO,5,1,3,C,,,A,U,FO,,,,
CL20005W-140613-002,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,UNWO,1,1,2,S,,,U,U,DR,,,,Recording: not heard (BBWO or ATTW)
CL20005W-140613-003,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,COYE,1,1,1,S,,,A,M,,,,,
CL20005W-140613-004,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,LISP,1,1,2,S,,,A,M,,,,,
CL20005W-140613-005,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,ALFL,5,1,2,S,,,A,M,,,,,
CL20005W-140613-006,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
CL20005W-140613-007,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,HETH,1,1,2,S,,,A,M,,,,,
CL20005W-140613-008,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,WIWA,1,2,1,S,,,A,M,,,,,
CL20005W-140613-009,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,TEWA,3,2,2,S,,,A,M,,,,,
CL20005W-140613-010,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,RCKI,1,2,2,S,,,A,M,,,,,
CL20005W-140613-011,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,HETH,1,2,2,S,,,A,M,,,,,
CL20005W-140613-012,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,RESQ,5,3,2,C,,,U,U,,,,,
CL20005W-140613-013,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,WIWR,1,3,2,S,,,A,M,,,,,
CL20005W-140613-014,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,GRAJ,1,4,1,C,,,U,U,FT,,,,
CL20005W-140613-015,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,GRAJ,1,4,1,C,,,U,U,FT,,,,
CL20005W-140613-016,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,GRAJ,1,4,1,C,,,U,U,FT,,,,
CL20005W-140613-017,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,HETH,1,4,2,S,,,A,M,,,,,
CL20005W-140613-018,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,SWTH,3,4,2,S,,,A,M,,,,,
CL20005W-140613-019,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,HETH,1,4,2,S,,,A,M,,,,,
CL20005W-140613-020,CL20005W,CL20005W-1,13/06/2014,4:55:00 AM,n_a,1,32,YRWA,1,4,2,S,,,A,M,,,,,
CL20006G-140613-001,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,ATTW,5,1,1,C,,,A,U,FE,,,,
CL20006G-140613-002,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
CL20006G-140613-003,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,DEJU,3,1,2,S,,,A,M,,,,,
CL20006G-140613-004,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,PAWA,1,1,2,S,,,A,M,,,,,
CL20006G-140613-005,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,LISP,1,1,2,S,,,A,M,,,,,
CL20006G-140613-006,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,WIWR,1,1,2,S,,,A,M,,,,,
CL20006G-140613-007,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,HETH,3,1,2,C,,,A,U,,,,,
CL20006G-140613-008,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,YRWA,3,1,2,S,,,A,M,,,,,
CL20006G-140613-009,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,UNBL,1,2,1,C,,,A,U,,,,,Unknown blackbird not heard on recording (wind).
CL20006G-140613-010,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,TEWA,1,2,1,S,,,A,M,,,,,
CL20006G-140613-011,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,SWTH,3,2,1,S,,,A,M,,,,,
CL20006G-140613-012,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,YBFL,3,3,1,S,,,A,M,,,,,
CL20006G-140613-013,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,DEJU,1,3,2,S,,,A,M,,,,,
CL20006G-140613-014,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,YRWA,1,4,1,S,,,A,M,,,,,
CL20006G-140613-015,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,CMWA,3,4,1,S,,,A,M,,,,,
CL20006G-140613-016,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,RCKI,1,4,2,S,,,A,M,,,,,
CL20006G-140613-017,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,OVEN,1,4,2,S,,,A,M,,,,,
CL20006G-140613-018,CL20006G,CL20006G-1,13/06/2014,8:10:00 AM,n_a,1,32,RESQ,1,4,2,C,,,U,U,,,,,
CL20007G-140613-001,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,PAWA,1,1,1,S,,,A,M,,,,,
CL20007G-140613-002,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,PAWA,1,3,1,S,,,A,M,,,,,
CL20007G-140613-003,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,PAWA,5,3,1,S,,,A,M,,,,,
CL20007G-140613-004,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,SWSP,1,1,1,S,,,A,M,,,,,
CL20007G-140613-005,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,CHSP,1,1,1,S,,,A,M,,,,,
CL20007G-140613-006,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,NOHA,3,1,1,V,,,A,U,FT,,,,
CL20007G-140613-007,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,CHSP,,3,1,S,,,A,M,,,,,
CL20007G-140613-008,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,BOCH,1,2,1,C,,,U,U,,,,,
CL20007G-140613-009,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,ALFL,1,3,1,S,,,A,M,,,,,
CL20007G-140613-010,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,COYE,1,3,1,S,,,A,M,,,,,
CL20007G-140613-011,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,DEJU,1,4,1,S,,,A,M,,,,,
CL20007G-140613-012,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,HETH,1,4,2,S,,,A,M,,,,,
CL20007G-140613-013,CL20007G,CL20007G-1,13/06/2014,7:12:00 AM,n_a,1,28,RCKI,1,3,3,S,,,A,M,,,,,
CL20008G-140613-001,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,CMWA,5,2,1,S,,,A,M,,,,,
CL20008G-140613-002,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,RESQ,1,2,1,C,,,U,U,,,,,
CL20008G-140613-003,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,BBWA,1,2,1,S,,,A,M,,,,,
CL20008G-140613-004,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,YRWA,1,3,1,S,,,A,M,,,,,
CL20008G-140613-005,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,RESQ,1,1,2,C,,,U,U,,,,,
