Data Steward Affiliation / Affiliation d'intendant des données,"Environment and Climate Change Canada, Canadian Wildlife Service ","Environnement et Changement climatique Canada, Service canadien de la faune",,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,
Attribution / ,"Environment and Climate Change Canada, [Year Accessed].  Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_SiteSurveyInfo.csv, generated 2012-03-07. Accessed on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Cause-Effect-Biodiversity-Monitoring-Landbirds-2014_SiteSurveyInfo.csv, générée 2012-03-07. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance,The author(s) acknowledge Environment and Climate Change Canada and Brion Energy for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ,"Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et Brion Energy pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,
Quality Assurance Level and Disclaimer ,"Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Date,PCSiteID,StationID,ObserverID,TimeStart,SampleID,VisitID,WindStart,PrecipStart,TempStart,CloudStart,WindEnd,PrecipEnd,TempEnd,CloudEnd,TimeFin,Noise,O/N Rain,SurveyNote
6/13/2014,CL20001G,CL20001G-1,28,5:05:00 AM,n_a,1,0,0,3.1,0,0,0,3.1,0,5:15:00 AM,0,N,
6/13/2014,CL20002G,CL20002G-1,32,8:45:00 AM,n_a,1,2,0,14,0,2,0,15.9,0,8:55:00 AM,0,N,
6/13/2014,CL20003G,CL20003G-1,32,7:35:00 AM,n_a,1,0,0,8.2,0,0,0,8.1,0,7:45:00 AM,0,N,
6/13/2014,CL20004G,CL20004G-1,28,6:06:00 AM,n_a,1,0,0,1.9,0,,,,,6:16:00 AM,0,N,forgot to record weather at end of PC
6/13/2014,CL20005G,CL20005G-1,28,9:02:00 AM,n_a,1,0,0,15.1,0,0,0,14.5,0,9:12:00 AM,0,N,
6/13/2014,CL20005N,CL20005N-1,32,6:35:00 AM,n_a,1,0,0,,0,0,0,1.9,0,6:45:00 AM,0,N,No start temperature
6/13/2014,CL20005W,CL20005W-1,32,4:55:00 AM,n_a,1,0,0,2.3,1,0,0,1.3,1,5:05:00 AM,0,N,
6/13/2014,CL20006G,CL20006G-1,32,8:10:00 AM,n_a,1,0,0,11.2,0,0,0,13,0,8:20:00 AM,1,N,Noise from highway 813 in the distance
6/13/2014,CL20007G,CL20007G-1,28,7:12:00 AM,n_a,1,0,0,11.5,0,0,0,11.7,0,7:22:00 AM,1,N,
6/13/2014,CL20008G,CL20008G-1,28,7:44:00 AM,n_a,1,0,0,11.5,0,0,0,9.9,0,7:54:00 AM,0,N,
6/13/2014,CL20008N,CL20008N-1,32,5:30:00 AM,n_a,1,0,0,0.5,0,0,0,-0.1,0,5:40:00 AM,0,N,
6/13/2014,CL20008P,CL20008P-1,32,9:30:00 AM,n_a,1,2,0,21.3,0,0,0,22.4,0,9:40:00 AM,0,N,"Pipeline is 2 cut lines of 8m wide each. There is a strip of Lt, Sb and Salix regen between the two."
6/13/2014,CL20009G,CL20009G-1,28,8:22:00 AM,n_a,1,0,0,12.3,0,2,0,13.3,0,8:32:00 AM,0,N,
6/13/2014,CL20009P,CL20009P-1,32,6:05:00 AM,n_a,1,0,0,1.2,0,0,0,1.3,0,6:15:00 AM,0,N,
5/30/2014,CO20001G,CO20001G-1,32,9:24:00 AM,n_a,1,2,0,,1,2,0,,1,9:34:00 AM,1,Y,Forgot the Kestrel (no temperature) - Noise from road and traffic - SL 5m from PC center
5/30/2014,CO20002G,CO20002G-1,32,9:49:00 AM,n_a,1,2,0,,1,2,0,,1,9:59:00 AM,0,Y,Forgot the Kestrel (no temperature) - Non operational well pad about 15m from PC center
5/30/2014,CO20003G,CO20003G-1,32,6:46:00 AM,n_a,1,0,0,,3,2,0,,2,6:56:00 AM,1,Y,Forgot the Kestrel (no temperature) - Noise is road in the distance (far)
5/30/2014,CO20004G,CO20004G-1,32,6:16:00 AM,n_a,1,2,0,,3,1,0,,3,6:26:00 AM,1,Y,Forgot the Kestrel (no temperature) - Noise is from road and traffic. On the edge of a well pad (80 x80m). Photo #248
5/30/2014,CO20005G,CO20005G-1,32,7:24:00 AM,n_a,1,2,0,,2,2,0,,2,7:34:00 AM,0,Y,Forgot the Kestrel (no temperature) - SL = 5m wide
5/30/2014,CO20006G,CO20006G-1,32,8:54:00 AM,n_a,1,2,0,,2,2,0,,2,9:04:00 AM,0,Y,Forgot the Kestrel (no temperature) -SL through PC center + well pad (80 x 80m) about 25m West
5/30/2014,CO20007G,CO20007G-1,32,8:16:00 AM,n_a,1,2,0,,2,2,0,,2,8:26:00 AM,0,Y,Forgot the Kestrel (no temperature) - SL 10m away from PC center and 5m wide
5/30/2014,CO20008G,CO20008G-1,32,7:49:00 AM,n_a,1,2,0,,3,2,0,,3,7:59:00 AM,0,Y,Forgot the Kestrel (no temperature) - SL=5m wide and goes through PC center
5/30/2014,CO20009G,CO20009G-1,32,5:46:00 AM,n_a,1,2,0,,3,2,0,,3,5:56:00 AM,3,Y,Forgot the Kestrel (no temperature) - Station about 50m away from plant and large SL/trail (10m wide) is 25m away. SACR fly over and lands near plant (about 10 seconds after PC)
5/30/2014,CO20010G,CO20010G-1,28,9:33:00 AM,n_a,1,2,0,10.8,1,2,0,10.2,1,9:43:00 AM,2,Y,Sound produced by gas plant
5/30/2014,CO20011G,CO20011G-1,28,6:52:00 AM,n_a,1,3,0,6.89,1,,,,,7:02:00 AM,2,Y,Forgot to record weather at end of count. Noise produced by nearby gas plant- some clouds produced by smoke stack as well
5/30/2014,CO20012G,CO20012G-1,28,6:24:00 AM,n_a,1,3,0,6.7,3,3,0,6.6,3,6:34:00 AM,1,Y,Still many birds migrating
5/30/2014,CO20013G,CO20013G-1,28,6:00:00 AM,n_a,1,2,0,6.7,3,2,0,6.5,3,6:10:00 AM,1,Y,Lots of migrating warblers overhead. Smelt like sour gas but monitor read 0
5/30/2014,CO20014G,CO20014G-1,28,7:25:00 AM,n_a,1,3,0,7.8,1,3,0,7.9,1,7:35:00 AM,1,Y,
5/30/2014,CO20015G,CO20015G-1,28,9:04:00 AM,n_a,1,3,0,10.7,1,2,0,11.1,1,9:14:00 AM,1,Y,
5/30/2014,CO20016G,CO20016G-1,28,8:29:00 AM,n_a,1,3,0,8.2,1,3,0,8.4,1,8:39:00 AM,1,Y,
5/30/2014,CO20017G,CO20017G-1,28,7:59:00 AM,n_a,1,3,0,8.6,1,3,0,8,1,8:09:00 AM,1,Y,
5/30/2014,CO20018G,CO20018G-1,28,5:26:00 AM,n_a,1,3,0,7.2,3,2,0,6.5,3,5:36:00 AM,1,Y,
5/28/2014,CO20101G,CO20101G-1,28,6:55:00 AM,n_a,1,0,1,6.8,3,0,1,6.4,3,7:05:00 AM,0,Y,"On edge of what appears to be a new well pad, see PC and disturbance form. Recorder sensitivity set back to 100. Birds appear Migratory - mostly chips and swips from warblers."
5/28/2014,CO20102G,CO20102G-1,32,9:12:00 AM,n_a,1,0,0,9.6,3,0,0,8.1,3,9:22:00 AM,0,Y,Recording in two parts. Stopped at 6:15
5/28/2014,CO20103G,CO20103G-1,32,7:00:00 AM,n_a,1,0,0,8.4,3,0,0,6.7,3,7:10:00 AM,0,Y,SL about 25m away from PC center
5/28/2014,CO20104G,CO20104G-1,32,7:27:00 AM,n_a,1,1,0,8.4,3,0,0,7.5,3,7:37:00 AM,0,Y,SL 10m away from PC center
5/28/2014,CO20105G,CO20105G-1,32,8:42:00 AM,n_a,1,0,0,7.4,3,0,0,7.4,3,8:52:00 AM,0,Y,SL 5m wide on PC center
5/28/2014,CO20106G,CO20106G-1,28,7:40:00 AM,n_a,1,0,0,7.8,3,0,0,,3,7:50:00 AM,0,Y,
5/28/2014,CO20107G,CO20107G-1,28,8:49:00 AM,n_a,1,0,0,8,3,0,0,6.8,3,8:59:00 AM,0,Y,
5/28/2014,CO20108G,CO20108G-1,28,9:14:00 AM,n_a,1,1,0,8.8,3,0,0,8,3,9:24:00 AM,0,Y,Airplane flew overhead
5/28/2014,CO20109G,CO20109G-1,32,8:07:00 AM,n_a,1,0,0,8,3,0,0,6.6,3,8:17:00 AM,0,Y,PC center on the intersection of two SL (5m wide each)
5/27/2014,CO20201G,CO20201G-1,32,8:44:00 AM,n_a,1,0,0,8.4,3,0,0,8.8,3,8:54:00 AM,0,Y,SL 5m wide passing through PC center
5/27/2014,CO20201N,CO20201N-1,28,7:59:00 AM,n_a,1,1,0,7.6,3,1,0,7.1,3,8:09:00 AM,1,Y,Distant trucks
5/27/2014,CO20201P,CO20201P-1,28,8:47:00 AM,n_a,1,3,0,7.6,3,3,0,7.2,3,8:57:00 AM,0,Y,
5/27/2014,CO20202G,CO20202G-1,32,9:19:00 AM,n_a,1,1,0,8.4,3,0,0,7.5,3,9:29:00 AM,1,Y,Noise is rain water dripping from trees
5/27/2014,CO20203G,CO20203G-1,28,9:39:00 AM,n_a,1,3,0,7,3,4,0,7.3,3,9:49:00 AM,1,Y,"Distant trucks, recorder sensitivity set to 60 due to wind"
5/27/2014,CO20204G,CO20204G-1,28,10:16:00 AM,n_a,1,3,1,7.8,3,3,0,7.9,3,10:26:00 AM,1,Y,"Trucks in distance, plane overhead. Recorder sensistivity set to 60 due to wind"
5/27/2014,CO20205G,CO20205G-1,32,9:53:00 AM,n_a,1,1,0,8.1,3,1,0,8.2,3,10:03:00 AM,1,Y,Noise is road in the distance (far)
5/27/2014,CO20206G,CO20206G-1,32,8:07:00 AM,n_a,1,0,1,7.8,3,0,1,7.3,3,8:17:00 AM,1,Y,
5/27/2014,CO20207G,CO20207G-1,32,7:30:00 AM,n_a,1,0,1,8.2,3,0,1,7.4,3,7:40:00 AM,2,Y,Noise is non continuous traffic about 200m away. Also there is a SL about 10m away from PC center
5/27/2014,CO20208G,CO20208G-1,32,6:55:00 AM,n_a,1,0,2,8.2,3,0,2,7.1,3,7:05:00 AM,1,Y,Noise is from road and traffic (background noise). SL of 5m wide about 10m from PC center
5/27/2014,CO20209G,CO20209G-1,32,6:10:00 AM,n_a,1,0,2,8.6,3,0,2,8.6,3,6:20:00 AM,1,Y,Very wide pipeline (30m at least) is 50m away from PC center. There is also a SL (5m wide) about 10 m away.
5/27/2014,CO20213N,CO20213N-1,28,7:13:00 AM,n_a,1,0,0,7.2,3,0,1,7,3,7:23:00 AM,1,Y,"Distant trucks, construction. Point placed directly on 2m seismic line + small depressing with water. See PC sheet."
5/27/2014,CO20213S,CO20213S-1,28,6:10:00 AM,n_a,1,0,1,,3,0,1,9.6,3,6:20:00 AM,0,Y,Lots of migrating warblers overhead
5/30/2014,CO20301G,CO20301G-1,87,10:18:00 AM,n_a,1,3,0,19.2,2,3,0,16.3,2,10:28:00 AM,1,Y,"Did not record this point count.  Airplanes, machinery, gusty winds and booming noise."
5/30/2014,CO20302G,CO20302G-1,26,6:10:00 AM,n_a,1,1,0,7.3,3,1,0,7.1,3,6:20:00 AM,2,Y,"NOISE DUE TO TRAFFIC IN THE DISTANCE, WIND GUSTING TO 3, SHOT GUN NOISES FROM AN OIL REFINERY NEARBY"
5/30/2014,CO20302N,CO20302N-1,87,7:03:00 AM,n_a,1,2,0,7.4,2,3,0,7.9,3,7:13:00 AM,1,Y,"Occasional pounding and heavey machinery.  Winds gusted twice to 4.  3x WTSP, two counter singing, plus a BBWA sang and a RESQ called after the PC."
5/30/2014,CO20302W,CO20302W-1,87,9:22:00 AM,n_a,1,2,0,15.6,2,2,0,20.5,1,9:32:00 AM,2,Y,Intermittent booming/shot noises and machinery.  This is NOT a well pad but the side/slope of a hill.  The adjacent stream is noisy and harder to hear the East side of the survey site.
5/30/2014,CO20303G,CO20303G-1,26,6:45:00 AM,n_a,1,1,0,7.2,2,2,0,7.2,2,6:55:00 AM,2,Y,NOISE DUE TO DISTANT TRAFFIC
5/30/2014,CO20303N,CO20303N-1,87,6:21:00 AM,n_a,1,3,0,8.7,3,3,0,7.7,3,6:31:00 AM,2,Y,Intermittent pounding from nearby plant.
5/30/2014,CO20303W,CO20303W-1,87,7:54:00 AM,n_a,1,3,0,9.7,3,3,0,9.8,2,8:04:00 AM,2,Y,"Wind gusts. OCWA, RBNU & YWAR sang and a WIWR to SW."
5/30/2014,CO20304G,CO20304G-1,26,7:22:00 AM,n_a,1,1,0,8.1,3,2,0,8.4,3,7:32:00 AM,2,Y,"NOISE DUE TO DISTANT TRAFFIC AND SHOT GUN NOISES FROM AN OIL REFINERY, WIND GUSTING TO 4"
5/30/2014,CO20305G,CO20305G-1,26,8:24:00 AM,n_a,1,2,0,8.7,2,2,0,9,2,8:34:00 AM,2,Y,WIND GUSTING TO 4/5
5/30/2014,CO20306G,CO20306G-1,26,10:03:00 AM,n_a,1,1,2,12.2,0,,,2,,10:13:00 AM,2,Y,WIND GUSTING TO 4/5. FORGOT TO TAKE WEATHER MEASUREMENTS AFTER SURVEYS. NOISE DUE TO OIL REFINERY IN THE DISTANCE AND WIND
5/30/2014,CO20307G,CO20307G-1,26,9:25:00 AM,n_a,1,2,0,11.5,2,3,0,11.7,2,9:35:00 AM,2,Y,NOISE DUE TO WIND GUSTING TO 4/5 AND GUN SHOT NOISES FROM OIL REFINERY
5/30/2014,CO20308G,CO20308G-1,26,8:56:00 AM,n_a,1,2,0,10.4,2,2,0,11.8,2,9:06:00 AM,2,Y,"NOISE: SHOT GUN SHOTS FROM OIL REFINERY, WIND GUSTING TO 4"
5/30/2014,CO20309G,CO20309G-1,26,7:50:00 AM,n_a,1,3,0,8.7,3,2,0,8.5,2,8:00:00 AM,2,Y,"NOISE: GUN SHOTS FROM THE OIL REFINERY NEARBY, WIND GUSTING TO 4"
5/27/2014,CO20401G,CO20401G-1,87,9:33:00 AM,n_a,1,2,0,9.6,3,2,0,7.5,3,9:43:00 AM,2,Y,This is now a freshly cleared cut for new power lines; there are 3 lines 45m wideand 5m from the Point Count's western 50m border.  Heavy Equipment and distant tank construction.  A parir of UNSB flew over after the PC and a WISN winnowed to the South within 50-100m after the PC.
5/27/2014,CO20402G,CO20402G-1,26,6:32,n_a,1,1,1,7.4,3,1,2,7.1,3,6:42:00 AM,1,Y,
5/27/2014,CO20403G,CO20403G-1,26,7:13,n_a,1,1,1,7.8,3,1,1,7.3,3,7:23:00 AM,1,Y,
5/27/2014,CO20403N,CO20403N-1,87,8:28:00 AM,n_a,1,1,1,9,3,1,1,8.9,3,8:38:00 AM,1,Y,"The PC is split by a clearing for the road, the elevated gravel road and a seismic cut line to the NW.  A truck drove by at the end of the recording.  Dripping trees nearby."
5/27/2014,CO20403W,CO20403W-1,87,7:24:00 AM,n_a,1,1,1,8.5,3,1,1,7.4,3,7:34:00 AM,1,Y,"Heavy Equipment and Well Pump House in distance.  3x GRAJ, family group, were sited in SB, calling after PC."
5/27/2014,CO20404G,CO20404G-1,26,7:53,n_a,1,1,1,7.8,3,1,1,8,3,8:03:00 AM,2,Y,
5/27/2014,CO20405G,CO20405G-1,26,9:29,n_a,1,0,0,8.1,3,1,0,7.6,3,9:39:00 AM,2,Y,Construction NW >150m away
5/27/2014,CO20406G,CO20406G-1,26,10:24,n_a,1,2,0,7.5,3,2,0,7.7,3,10:34:00 AM,2,Y,
5/27/2014,CO20407G,CO20407G-1,26,10:00:00 AM,n_a,1,1,0,8.7,3,1,0,9,3,10:10:00 AM,2,Y,
5/27/2014,CO20408G,CO20408G-1,26,8:56,n_a,1,0,0,8.2,3,1,0,8.1,3,9:06:00 AM,2,Y,Construction >150m north of point; noise 2.5
5/27/2014,CO20409G,CO20409G-1,26,8:23,n_a,1,0,1,8,3,1,1,7.4,3,8:33:00 AM,2,Y,
6/30/2014,CO20601G,CO20601G-1,26,6:57:00 AM,n_a,1,1,0,16.5,3,1,0,17,3,7:07:00 AM,3,N,"2 GRAJ (Visual and Audio, Adult and Juvenile) HERE UPON ARRIVE BUT LEFT BEFORE PC. <50M IN QUADRANT 4"
6/30/2014,CO20602G,CO20602G-1,26,6:24:00 AM,n_a,1,2,0,15.6,3,1,0,15.8,3,6:34:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <1.5KM NORTH
6/30/2014,CO20603G,CO20603G-1,26,5:52:00 AM,n_a,1,2,0,15.3,3,2,0,14.9,3,6:02:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <1KM NORTH
6/30/2014,CO20604G,CO20604G-1,26,5:25:00 AM,n_a,1,2,0,15.3,3,2,0,15.3,3,5:35:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <500M NORTH ON ROAD
6/30/2014,CO20605G,CO20605G-1,26,8:51:00 AM,n_a,1,1,0,19.2,3,1,0,19.6,3,9:01:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <1.5KM NORTH AND THE HORSEFLIES
6/30/2014,CO20605N,CO20605N-1,87,9:31:00 AM,n_a,1,2,0,22.9,3,1,0,23.9,3,9:41:00 AM,1,N,High thin clouds.  Mosquitos and intermittent MEG Operations radio communications.  A singing SACR >100m in NE was heard and recorded during 06P.  A calling GRAJ and a singing RCKI within 50m in NE and a singing HETH within 50-100m in NE after the PC.
6/30/2014,CO20605P,CO20605P-1,87,8:38:00 AM,n_a,1,3,0,18.8,3,3,0,18.4,3,8:48:00 AM,1,N,Machinery and intermittent MEG Operations radion communications.  Wind gusts to 4.  Smokey haze from NWT forest fires.  A calling GRAJ and counter-singing ALFL within 50m to SE and one counter-singing ALFL within 50m to NW after the PC.
6/30/2014,CO20606G,CO20606G-1,26,7:32:00 AM,n_a,1,1,0,17,3,1,0,17.5,3,7:42:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <2KM NORTH AND OIL ROAD NEARBY (N). WISN ALREADY RECORDED IN PREVIOUS PC. BOCH CALLING AFTER PC <50M IN QUADRANT 4. WOODLAND CARIBOU TROTTED INTO THE SITE AT THE END OF THE PC. 
6/30/2014,CO20606N,CO20606N-1,87,6:15:00 AM,n_a,1,2,0,16.7,3,2,0,16,3,6:25:00 AM,1,N,Mosquitos.  The  SACR and WISN from 06P was heard.
6/30/2014,CO20606P,CO20606P-1,87,5:14:00 AM,n_a,1,2,0,15.1,3,2,0,14.9,3,5:24:00 AM,1,N,High thin clouds. Intermittent MEG Operations radio communications and machinery.
6/30/2014,CO20607G,CO20607G-1,26,8:09:00 AM,n_a,1,2,0,18.1,3,1,0,19.2,3,8:19:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <2KM NORTH AND A ROAD TO THE EAST. WISN ALREADY RECORDED IN PREVIOUS PC
6/30/2014,CO20607N,CO20607N-1,87,7:01:00 AM,n_a,1,2,0,17.2,3,2,0,17.3,1,7:11:00 AM,1,N,Mosquitos and intermittent MEG Operations radio communications.
6/30/2014,CO20607W,CO20607W-1,87,7:49:00 AM,n_a,1,2,0,20.1,3,3,0,20.5,3,7:59:00 AM,0,N,
6/30/2014,CO20608G,CO20608G-1,26,9:24:00 AM,n_a,1,1,0,20.1,3,1,0,20.4,3,9:34:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <1KM NORTH AND A ROAD <500M EAST
6/30/2014,CO20609G,CO20609G-1,26,4:51:00 AM,n_a,1,0,0,15.5,3,1,0,13.7,3,5:01:00 AM,3,N,NOISE DUE TO OIL REFINERY/PLANT <500M NORTH. GRAJ CALLING BEFORE AND AFTER PC <50M IN QUADRANT 1. RCKI SINGING AFTER PC 50-100M IN QUADRANT 3. 
5/31/2014,CO20901G,CO20901G-1,26,10:02:00 AM,n_a,1,2,0,20.6,0,1,0,22.9,0,10:12:00 AM,2,N,
5/31/2014,CO20902G,CO20902G-1,87,9:29:00 AM,n_a,1,2,0,21.9,0,2,0,23,0,9:39:00 AM,0,N,Two TEWA chased eachother in the North sector.
5/31/2014,CO20903G,CO20903G-1,87,8:42:00 AM,n_a,1,2,0,19.1,0,1,0,17.8,0,8:52:00 AM,1,N,
5/31/2014,CO20904G,CO20904G-1,87,7:53:00 AM,n_a,1,1,0,13.8,0,1,0,13.1,0,8:03:00 AM,2,Y,Machinery noise.
5/31/2014,CO20905G,CO20905G-1,87,7:04:00 AM,n_a,1,2,0,10.5,1,2,0,10,0,7:14:00 AM,2,N,Machinery noise.
5/31/2014,CO20905N,CO20905N-1,26,5:47:00 AM,n_a,1,0,0,7.5,0,0,0,6.3,1,5:57:00 AM,1,N,
5/31/2014,CO20905P,CO20905P-1,26,7:27:00 AM,n_a,1,0,0,10.7,0,0,0,10.2,0,7:37:00 AM,2,N,
5/31/2014,CO20906G,CO20906G-1,26,9:12:00 AM,n_a,1,0,0,17.8,0,0,0,17.1,0,9:22:00 AM,1,N,
5/31/2014,CO20906N,CO20906N-1,26,5:18:00 AM,n_a,1,0,0,7.6,0,0,0,5.6,0,5:28:00 AM,1,N,
5/31/2014,CO20907G,CO20907G-1,26,8:26:00 AM,n_a,1,0,0,15.7,1,0,0,16.3,0,8:36:00 AM,2,N,OLD CUT BLOCK WITH YOUNG PB AND SW GROWING IN IT
5/31/2014,CO20908G,CO20908G-1,87,6:15:00 AM,n_a,1,1,0,5.8,2,2,0,5.6,2,6:25:00 AM,2,N,"Machinery/ Heavy Equipment and a TEWA sonic wall noise.  The following birds sang within 50m in Quadrant 1 after the PC: LISP, YBSA, MAWA, and a BHVI (possibly PH)."
5/31/2014,CO20909G,CO20909G-1,87,5:33:00 AM,n_a,1,1,0,3.8,2,1,0,3.7,2,5:43:00 AM,2,N,Heavy Equipment noise in quadrant #1 area.
5/31/2014,CO20980P,CO20980P-1,26,6:43:00 AM,n_a,1,1,0,8.5,1,2,0,9.4,1,6:53:00 AM,2,N,NEW WPT ~90M SE OF ORIGINAL POINT. PIPELINE DID NOT EXIST SO I MOVED IT TO THE CLOSEST PIPELINE AVAILABLE. NOISE LEVEL IS DUE TO PASSING PLANES AND TRUCKS ON A HIGHWAY CLOSE BY.
6/26/2014,CO21101G,CO21101G-1,28,7:29:00 AM,n_a,1,0,0,14.1,2,0,0,13.6,2,7:39:00 AM,0,Y,
6/26/2014,CO21101N,CO21101N-1,28,9:08:00 AM,n_a,1,0,0,17.2,2,0,0,17.4,2,9:18:00 AM,0,Y,
6/26/2014,CO21101W,CO21101W-1,32,9:05:00 AM,n_a,1,0,0,17.5,3,0,0,17.8,3,9:15:00 AM,0,Y,Well pad is 50x50m
6/26/2014,CO21102G,CO21102G-1,28,6:51:00 AM,n_a,1,0,0,12.4,2,1,0,12.7,2,7:01:00 AM,0,Y,
6/26/2014,CO21102W,CO21102W-1,32,8:20:00 AM,n_a,1,0,0,16.3,3,0,0,16.2,3,8:30:00 AM,0,N,Well pad is 60x60m
6/26/2014,CO21103G,CO21103G-1,28,6:23:00 AM,n_a,1,0,0,12.2,2,0,0,11.5,2,6:33:00 AM,1,Y,
6/26/2014,CO21104G,CO21104G-1,28,5:43:00 AM,n_a,1,0,0,14.4,3,0,0,11.6,3,5:53:00 AM,1,Y,
6/26/2014,CO21104S,CO21104S-1,28,8:26:00 AM,n_a,1,0,0,14.8,2,1,0,14.9,2,8:36:00 AM,0,Y,
6/26/2014,CO21105G,CO21105G-1,32,7:40:00 AM,n_a,1,0,0,14.1,3,0,0,15.1,3,7:50:00 AM,0,N,
6/26/2014,CO21106G,CO21106G-1,32,7:05:00 AM,n_a,1,0,0,12.9,3,0,0,12.7,3,7:15:00 AM,1,N,Noise: distant plant
6/26/2014,CO21107G,CO21107G-1,32,6:40:00 AM,n_a,1,0,0,11.5,3,0,0,11.5,3,6:50:00 AM,1,N,SL is 5m wide. Noise: traffic from road (not continuous) and electric panel.
