Item/Point,Version anglaise,Version française,,,,
Sites,Zone,10TM,,,The 10-TM projection does not include zones the way standard UTM does,Cette projection n'inclue pas des zones de la même façon que les projections UTM
Sites,Longitude,,,,Geographic longitude coordinate of the site,Longitude du site
Sites,Latitude,,,,Geographic latitude coordinate of the site,Latitude du site
Sites,CoordSource,GIS,,,Point Count coordinates determined by GIS (computer software),Les coordonnées du site ont été déterminées au moyen d'un SIG
Sites,CoordSource,GPS,,,Point Count coordinates determined by GPS (handheld field device),Les coordonnées du site ont été déterminées au moyen d'un GPS
Sites,CoordSource,MAP,,,Point Count coordinates determined by map (hard-copy field map),Les coordonnées du site ont été déterminées au moyen d'une carte papier
Sites,FeatureType,pt,Point,Point,Site is a point location,Le site est un point
Sites,PointType,G,Grid,Grille,Point is located on a Grid,Le point est situé sur une Grille
Sites,PointType,N,Natural,Naturel,Point is located on a Natural,Le point est situé sur une Naturel
Sites,PointType,P,Pipeline,Pipeline,Point is located on a Pipeline,Le point est situé sur une Pipeline
Sites,PointType,R,Road,Route,Point is located on a Road,Le point est situé sur une Route
Sites,PointType,S,Seismic line,Ligne sismique,Point is located on a Seismic line,Le point est situé sur une Ligne sismique
Sites,PointType,W,Wellpad,plateforme d'exploitation,Point is located on a Wellpad,Le point est situé sur une plateforme d'exploitation
Sites,HFlevel,High,High,Élevé,High human footprint (disturbance) level,Level d'empreinte humaine (perturbation) élevé
Sites,HFlevel,MediumHigh,Medium-high,Moyen-élevé,Medium-high human footprint (disturbance) level,Level d'empreinte humaine (perturbation) moyen-élevé
Sites,HFlevel,MediumLow,Medium-low,Moyen-faible,Medium-low human footprint (disturbance) level,Level d'empreinte humaine (perturbation) moyen-faible
Sites,HFlevel,Low,Low,Faible,Low human footprint (disturbance) level,Level d'empreinte humaine (perturbation) faible
Sites,HFlevel,VeryLow,Very low,Très faible,Very low human footprint (disturbance) level,Level d'empreinte humaine (perturbation) très faible
Sites,ObserverID,,,,Initials of observer who conducted survey,Les initiales de l'observateur qui a effectué l'inventaire
Sites,GroundTruth,Yes,,,Point verified by observer on the ground,Les coordonnées ont été vérifiés sur place par l'observateur
Sites,Access,Road,,,Site accessed by road,Accès au site par route
Sites,Access,Heli,,,Site accessed by helicopter,Accès au site par hélicoptère
Sites,DateEst,yyyy-mm-dd,,,Date the site was established,Date d'établissement du site
General Information,SiteID,,,,Unique ID 7-digit alphanumeric code for Point Count Site,Code d'identification unique alphanumérique à 7 caractères pour le site du point d'écoute
General Information,Date,,,,Date that survey was conducted at the site,Date du recensement
General Information,TimeStart,,,,Time that point count survey was started,L'heure de début du point d'écoute
General Information,ObserverID,,,,Initials of observer who conducted survey,Les initiales de l'observateur qui a effectué l'inventaire
General Information,Wind,0,<1 km/h,<1 km/h,Calm. Smoke rises vertically.,"Calme, la fumée monte verticalement"
General Information,Wind,1,1.1 – 5.5 km/h,1.1 – 5.5 km/h,"Light air, smoke drift indicates wind direction, still wind vanes.","Très légère brise, la fumée indique la direction du vent. Les girouettes ne s'orientent pas."
General Information,Wind,2,5.6 – 11 km/h,5.6 – 11 km/h,"Light Breeze, wind felt on exposed skin. Leaves rustle, vanes begin to move.",Légère brise. On sent le vent sur le visage. Les feuilles s'agitent. Les girouettes s'orientent.
General Information,Wind,3,12 – 19 km/h,12 – 19 km/h,"Gentle Breeze, leaves and small twigs constantly moving, light flags extended.",Petite brise. Les drapeaux flottent au vent. Les feuilles sont sans cesse en mouvement.
General Information,Wind,4,20 – 28 km/h,20 – 28 km/h,"Moderate Breeze, dust and loose paper raised. Small branches begin to move.",Brise modérée. Les poussières s'envolent. Les petites branches bougent.
General Information,Wind,5,29 – 38 km/h,29 – 38 km/h,"Fresh Breeze, branches of a moderate size move. Small trees in leaf begin to sway.",Bonne brise. Le tronc des arbustes et arbrisseaux en feuilles balance. La cime de tous les arbres est agitée. Des vaguelettes se forment sur les eaux intérieures.
General Information,Wind,6,39–49 km/h,39–49 km/h,"Strong Breeze, large branches moving, wind whistling",Vent frais. On entend siffler le vent. Les branches de large diamètre s'agitent. Les parapluies sont susceptibles de se retourner.
General Information,Wind,7,50 – 61 km/h,50 – 61 km/h,"High Wind, whole trees in motion. Effort needed to walk against the wind.",Vent fort. Tous les arbres balancent. Marcher contre le vent peut devenir difficile. Les parapluies sont susceptibles de se retourner.
General Information,Precip,0,No Rain,Sans pluie,No Rain,Sans pluie
General Information,Precip,1,Fog/Mist,Brûme/brouillard,Fog/Mist,Brûme/brouillard
General Information,Precip,2,Drizzle,Bruine,Drizzle,Bruine
General Information,Precip,3,Light Rain,Pluie légere,Light Rain,Pluie légere
General Information,Precip,4,Moderate Rain,Pluie modérée ,Moderate Rain,Pluie modérée 
General Information,Precip,5,Heavy Rain,Pluie forte,Heavy Rain,Pluie forte
General Information,Precip,6,Snow,Neige,Snow,Neige
General Information,Temp,,,,Temperature (in degrees Celsius) recorded in the field,Température (ºC) observée au site
General Information,Cloud,0,Clear Sky/Few Clouds,Dégagé / quelques nuages,Clear Sky/Few Clouds,Dégagé / quelques nuages
General Information,Cloud,1,Scattered or Variable,Nuages dispersés ou variable,Scattered or Variable,Nuages dispersés ou variable
General Information,Cloud,2,Cloudy (Broken),Nuages distincts,Cloudy (Broken),Nuages distincts
General Information,Cloud,3,Overcast,Couvert,Overcast,Couvert
General Information,TimeEnd,,,Fin du recensement,Time that point count survey was finished,L'heure de fin du point d'écoute
General Information,Noise,0,No noise,Silencieux,No noise (<40 dB) during most of survey.,Pas de bruit (<40 dB) pendant la majeure partie de l'inventaire
General Information,Noise,1,Slight noise,Bruit léger,"Slight noise (40-45 dB) during at least half of the survey, but probably not missing birds.","Bruit minimal (40 à 45 dB) pendant au moins la moitié de l'inventaire, mais ne pas empêchant la détection des oiseaux"
General Information,Noise,2,Moderate noise,Bruit modéré,"Moderate noise (45-50 dB), difficulty hearing birds > 100 m away; might be missing some high-pitched songs/calls of distant birds.",Bruit modéré (45 à 50 dB); les oiseaux sont à peine entendus à plus de 100m de distance; les oiseaux plus distants ou avec des chants de hautes fréquences sont peut-être manqués
General Information,Noise,3,Loud/substantial,Bruit fort,"Loud/substantial noise (50-60 dB), difficulty hearing birds >50 m away; detection radius probably is substantially reduced.",Bruit fort (50-60 dB); les oiseaux sont à peine entendus à plus de 50m de distance; le rayon de détection est réduit
General Information,Noise,4,Intense noise ,Bruit intense,"Intense noise (>60 dB), difficulty hearing birds >25 m away; probably detecting only the closest/loudest birds.",Bruit intense (>60dB); les oiseaux sont à peine entendus à plus de 25m de distance; détection des oiseaux les plus proches seulement
General Information,OvernightRain,Y,Yes,Oui,Rain occurred overnight,Pluie pendant la nuit
General Information,OvernightRain,N,No,Non,Rain did not occurr overnight,Pas de pluie pendant la nuit
General Information,SurveyNotes,,,Notes du recensement,Optional free text note with additional information about survey conditions,Texte optionnel: de plus amples détails sur les conditions d'inventaire
SpeciesObservationLog,ObservationID,,,,Unique ID 18-digit alphanumeric code for each bird detection,Code d'identification unique alphanumérique (18 caractères) pour chaque oiseau détecté
SpeciesObservationLog,SiteID,,,,Unique ID 7-digit alphanumeric code for Point Count Site,Code d'identification alphanumérique unique (7 caractères) pour le point d'écoute
SpeciesObservationLog,Species,,,,"See companion table ""Cause-Effect-Biodiversity-Monitoring-Landbirds-BirdSpecies.csv""","Voir table ci-joint:""Cause-Effect-Biodiversity-Monitoring-Landbirds-BirdSpecies.csv"""
SpeciesObservationLog,TimeInterval,1,0 - 3 min,0 - 3 min,Individual detected between 0 and 3 minutes from start of Point Count,Oiseau détecté entre 0 et 3 minutes du début du point d'écoute
SpeciesObservationLog,TimeInterval,3,3 - 5 min,3 - 5 min,Individual detected between 3 and 5 minutes from start of Point Count,Oiseau détecté entre 3 et 5 minutes du début du point d'écoute
SpeciesObservationLog,TimeInterval,5,5 - 10 min,5 - 10 min,Individual detected between 5 and 10 minutes from start of Point Count,Oiseau détecté entre 5 et 10 minutes du début du point d'écoute
SpeciesObservationLog,Direction,1,NE quadrant,quadrant n-e,Individual detected in Northeast quadrant of Point Count circle,Oiseau détecté dans le quadrant nord-est du cercle du point d'écoute
SpeciesObservationLog,Direction,2,SE quadrant,quadrant s-e,Individual detected in Southeast quadrant of Point Count circle,Oiseau détecté dans le quadrant sud-est du cercle du point d'écoute
SpeciesObservationLog,Direction,3,SW quadrant,quadrant s-o,Individual detected in Southwest quadrant of Point Count circle,Oiseau détecté dans le quadrant sud-ouest du cercle du point d'écoute
SpeciesObservationLog,Direction,4,NW quadrant,quadrant n-o,Individual detected in Northwest quadrant of Point Count circle,Oiseau détecté dans le quadrant nord-ouest du cercle du point d'écoute
SpeciesObservationLog,Direction,0,Unknown,Inconnu,Unknown quadrant (Individual identified only on recording),Quadrant inconnu (individu identifié par le biais d'un enregistrement)
SpeciesObservationLog,Distance,1,0 - 50 m,0 - 50 m,Individual detected less than 50 m from Point Count center point,Oiseau détecté à moins de 50m du centre du cercle
SpeciesObservationLog,Distance,2,50 - 100 m,50 - 100 m,Individual detected greater than 50 m and less than 100 m from Point Count center point,Oiseau détecté à plus de 50m et moins de 100m du centre du cercle
SpeciesObservationLog,Distance,3,>100 m,>100 m,Individual detected greater than 100 m from Point Count center point,Oiseau détecté à plus de 100m du centre du cercle
SpeciesObservationLog,Distance,0,Unknown,Inconnu,Unknown distance (Individual identified only on recording),Distance inconnu  (individu identifié par le biais d'un enregistrement)
SpeciesObservationLog,DetectType,S,Song,Chant,Individual detected by song,Oiseau détecté par chant
SpeciesObservationLog,DetectType,C,Call,Cris,Individual detected by call,Oiseau détecté par cris
SpeciesObservationLog,DetectType,V,Visual,Visuel,Individual detected by sight,Oiseau détecté visuellement
SpeciesObservationLog,Sex,M,Male,Mâle,Individual confirmed or assumed (singing) to be male,Oiseau confirmé ou supposé mâle (chant) 
SpeciesObservationLog,Sex,F,Female,Femelle,Individual confirmed to be female,Oiseau confirmé femelle
SpeciesObservationLog,Sex,P,Pair,Couple,Individual confirmed to be part of a pair group,Oiseau confirmé faisant partie d'un couple
SpeciesObservationLog,Sex,U,Unknown,Inconnu,Sex of individual undetermined,Sexe indéterminé
SpeciesObservationLog,Age,A,Adult,Adulte,Individual confirmed or assumed (singing) to be adult,Oiseau confirmé ou supposé mâle (chant) 
SpeciesObservationLog,Age,F,Fledgling,Jeune à l'envol,Individual confirmed to be a fledgling (young bird out of the nest),Oiseau confirmé femelle
SpeciesObservationLog,Age,J,Juvenile,Juvénile,Individual confirmed to be a juvenile (young bird in the nest),Oiseau confirmé juvénile (jeune au nid)
SpeciesObservationLog,Age,U,Unknown,Inconnu,Age of individual undetermined,Âge indéterminé
SpeciesObservationLog,ActivityNote,,,,Optional free text note describing observed activity of individual,Texte optionnel décrivant l'activité de l'individu
SpeciesObservationLog,Activity,CS,Counter-Singing,Contre-chanson,Individual observed exhibiting counter-singing behaviour,L'oiseau réplique à un chant
SpeciesObservationLog,Activity,DC,Distress Calling,Cris d'alarme,Individual observed exhibiting distress calling behaviour,L'oiseau pousse un cris d'alarme
SpeciesObservationLog,Activity,FT,Fly-Through (in forest),Vol-à-travers (dans le forêt),Individual observed exhibiting fly-through (in forest) behaviour,L'oiseau vol à travers la forêt
SpeciesObservationLog,Activity,FO,Fly-Over (above canopy),Survol (au dessus du couvert forestier),Individual observed exhibiting fly-over (above canopy) behaviour,L'oiseau survol le couvert forestier
SpeciesObservationLog,Activity,FL,Flock,Bande,Individual observed in a flock,L'oiseau est observé dans une bande
SpeciesObservationLog,Activity,DR,Drumming,Tambourinage,Individual observed exhibiting drumming behaviour,L'oiseau fait du tambourinage
SpeciesObservationLog,Activity,WI,Winnowing,Parade aérienne,Individual observed exhibiting winnowing behaviour,L'oiseau effectue une parade aérienne
SpeciesObservationLog,Activity,PE,Perching,Se perchant,Individual observed exhibiting perching behaviour,L'oiseau se perche
SpeciesObservationLog,Activity,FE,Feeding/Foraging,Alimentation/quête de nourriture,Individual observed exhibiting feeding/foraging behaviour,L'individu s'alimente ou cherche de la nourriture
SpeciesObservationLog,Activity,CH,Chasing,Poursuite,Individual observed exhibiting chasing behaviour,L'individu démontre un comportement de poursuite
SpeciesObservationLog,Activity,MO,Mobbing,Houspillage,Individual observed exhibiting mobbing behaviour,L'individu démontre un comportement d'houspillage
SpeciesObservationLog,Activity,SO,Soaring,Vol plané,Individual observed exhibiting soaring behaviour,L'individu plane
SpeciesObservationLog,Activity,CO,Copulating,Copulation,Individual observed exhibiting copulating behaviour,L'individu démontre un comportement de copulation
SpeciesObservationLog,Activity,NM,Carrying Nest Material,Transport de matériel de nidification,Individual observed carrying nest material,L'individu transporte du matériel de nidification
SpeciesObservationLog,Activity,CF,Carrying Food,Transport de nourriture,Individual observed carrying food,L'individu transporte de la nourriture
SpeciesObservationLog,Activity,DD,Distraction Display,Détourner l'attention,Individual observed exhibiting distraction display behaviour,L'individu tente de détourner l'attention
SpeciesObservationLog,Activity,FG,Family Group,Regroupement familiale,Individual observed in a family group,L'individu est observé dans un groupement familial
SpeciesObservationLog,Activity,BE,Begging,Quémandage,Individual observed exhibiting begging behaviour,L'individu quémande
BirdSpecies,Species,,,,List of standardized 4-letter species codes (adapted from EC Core 2013/AOU),Code d'espèce standardisé de 4 lettres  
BirdSpecies,English_Name,,,,List of standardized species names (adapted from EC Core 2013/AOU),Nom standardisé  de l'espèce (anglais)
BirdSpecies,French_Name,,,,List of standardized species names (adapted from EC Core 2013/AOU),Nom standardisé  de l'espèce (français)
BirdSpecies,Scientific_Name,,,,List of standardized species names (adapted from EC Core 2013/AOU),Nom standardisé de l'espèce (scientifique)
BirdSpecies,AOU_Sort_Order,,,,Sequence number to sort the list into taxonomic sequence according to American Ornithologists’ Union’s (AOU) Check-list of North American Birds 7th edition and supplements up to the 54th. This is a widely-accepted standard for bird nomenclature and taxonomy.,"Numéro séquentiel pour mettre en ordre taxonomique les noms, d'après l'Union ornithologique d'Amérique"
